checkpoint,q,attack,timing,rho,statistic,detected,trials,rate
all,64,sample_null,post_commit,0.02,energy,1877,2304,0.8146701388888888
all,64,sample_null,post_commit,0.02,spike,46,2304,0.019965277777777776
all,64,sample_null,post_commit,0.05,combined,2304,2304,1.0
all,64,sample_null,post_commit,0.05,directional,1401,2304,0.6080729166666666
all,64,sample_null,post_commit,0.05,energy,2304,2304,1.0
all,64,sample_null,post_commit,0.05,spike,865,2304,0.3754340277777778
all,64,sample_null,post_commit,0.1,combined,2304,2304,1.0
all,64,sample_null,post_commit,0.1,directional,1772,2304,0.7690972222222222
all,64,sample_null,post_commit,0.1,energy,2304,2304,1.0
all,64,sample_null,post_commit,0.1,spike,1839,2304,0.7981770833333334
all,64,sparse_16,post_commit,0.002,combined,99,2304,0.04296875
all,64,sparse_16,post_commit,0.002,directional,13,2304,0.005642361111111111
all,64,sparse_16,post_commit,0.002,energy,79,2304,0.03428819444444445
all,64,sparse_16,post_commit,0.002,spike,60,2304,0.026041666666666668
all,64,sparse_16,post_commit,0.005,combined,160,2304,0.06944444444444445
all,64,sparse_16,post_commit,0.005,directional,85,2304,0.03689236111111111
all,64,sparse_16,post_commit,0.005,energy,135,2304,0.05859375
all,64,sparse_16,post_commit,0.005,spike,135,2304,0.05859375
all,64,sparse_16,post_commit,0.01,combined,187,2304,0.08116319444444445
all,64,sparse_16,post_commit,0.01,directional,107,2304,0.046440972222222224
all,64,sparse_16,post_commit,0.01,energy,180,2304,0.078125
all,64,sparse_16,post_commit,0.01,spike,167,2304,0.0724826388888889
all,64,sparse_16,post_commit,0.02,combined,183,2304,0.07942708333333333
all,64,sparse_16,post_commit,0.02,directional,146,2304,0.06336805555555555
all,64,sparse_16,post_commit,0.02,energy,177,2304,0.07682291666666667
all,64,sparse_16,post_commit,0.02,spike,162,2304,0.0703125
all,64,sparse_16,post_commit,0.05,combined,183,2304,0.07942708333333333
all,64,sparse_16,post_commit,0.05,directional,146,2304,0.06336805555555555
all,64,sparse_16,post_commit,0.05,energy,176,2304,0.0763888888888889
all,64,sparse_16,post_commit,0.05,spike,162,2304,0.0703125
all,64,sparse_16,post_commit,0.1,combined,187,2304,0.08116319444444445
all,64,sparse_16,post_commit,0.1,directional,152,2304,0.06597222222222222
all,64,sparse_16,post_commit,0.1,energy,180,2304,0.078125
all,64,sparse_16,post_commit,0.1,spike,167,2304,0.0724826388888889
all,64,spike_1,post_commit,0.002,combined,44,2304,0.019097222222222224
all,64,spike_1,post_commit,0.002,directional,8,2304,0.003472222222222222
all,64,spike_1,post_commit,0.002,energy,37,2304,0.016059027777777776
all,64,spike_1,post_commit,0.002,spike,23,2304,0.009982638888888888
all,64,spike_1,post_commit,0.005,combined,47,2304,0.020399305555555556
all,64,spike_1,post_commit,0.005,directional,14,2304,0.006076388888888889
all,64,spike_1,post_commit,0.005,energy,40,2304,0.017361111111111112
all,64,spike_1,post_commit,0.005,spike,26,2304,0.011284722222222222
all,64,spike_1,post_commit,0.01,combined,49,2304,0.021267361111111112
all,64,spike_1,post_commit,0.01,directional,16,2304,0.006944444444444444
all,64,spike_1,post_commit,0.01,energy,42,2304,0.018229166666666668
all,64,spike_1,post_commit,0.01,spike,28,2304,0.012152777777777778
all,64,spike_1,post_commit,0.02,combined,48,2304,0.020833333333333332
all,64,spike_1,post_commit,0.02,directional,15,2304,0.006510416666666667
all,64,spike_1,post_commit,0.02,energy,41,2304,0.017795138888888888
all,64,spike_1,post_commit,0.02,spike,27,2304,0.01171875
all,64,spike_1,post_commit,0.05,combined,46,2304,0.019965277777777776
all,64,spike_1,post_commit,0.05,directional,13,2304,0.005642361111111111
all,64,spike_1,post_commit,0.05,energy,39,2304,0.016927083333333332
all,64,spike_1,post_commit,0.05,spike,25,2304,0.010850694444444444
all,64,spike_1,post_commit,0.1,combined,45,2304,0.01953125
all,64,spike_1,post_commit,0.1,directional,12,2304,0.005208333333333333
all,64,spike_1,post_commit,0.1,energy,38,2304,0.016493055555555556
all,64,spike_1,post_commit,0.1,spike,24,2304,0.010416666666666666
all,128,diffuse_balanced,post_commit,0.002,combined,48,2304,0.020833333333333332
all,128,diffuse_balanced,post_commit,0.002,directional,9,2304,0.00390625
all,128,diffuse_balanced,post_commit,0.002,energy,43,2304,0.018663194444444444
all,128,diffuse_balanced,post_commit,0.002,spike,20,2304,0.008680555555555556
all,128,diffuse_balanced,post_commit,0.005,combined,52,2304,0.022569444444444444
all,128,diffuse_balanced,post_commit,0.005,directional,9,2304,0.00390625
all,128,diffuse_balanced,post_commit,0.005,energy,48,2304,0.020833333333333332
all,128,diffuse_balanced,post_commit,0.005,spike,21,2304,0.009114583333333334
all,128,diffuse_balanced,post_commit,0.01,combined,89,2304,0.038628472222222224
all,128,diffuse_balanced,post_commit,0.01,directional,7,2304,0.0030381944444444445
all,128,diffuse_balanced,post_commit,0.01,energy,88,2304,0.03819444444444445
all,128,diffuse_balanced,post_commit,0.01,spike,23,2304,0.009982638888888888
all,128,diffuse_balanced,post_commit,0.02,combined,732,2304,0.3177083333333333
all,128,diffuse_balanced,post_commit,0.02,directional,63,2304,0.02734375
all,128,diffuse_balanced,post_commit,0.02,energy,689,2304,0.2990451388888889
all,128,diffuse_balanced,post_commit,0.02,spike,25,2304,0.010850694444444444
all,128,diffuse_balanced,post_commit,0.05,combined,2304,2304,1.0
all,128,diffuse_balanced,post_commit,0.05,directional,767,2304,0.3328993055555556
all,128,diffuse_balanced,post_commit,0.05,energy,2304,2304,1.0
all,128,diffuse_balanced,post_commit,0.05,spike,48,2304,0.020833333333333332
all,128,diffuse_balanced,post_commit,0.1,combined,2304,2304,1.0
all,128,diffuse_balanced,post_commit,0.1,directional,1454,2304,0.6310763888888888
all,128,diffuse_balanced,post_commit,0.1,energy,2304,2304,1.0
all,128,diffuse_balanced,post_commit,0.1,spike,332,2304,0.1440972222222222
all,128,directional,post_commit,0.002,combined,53,2304,0.023003472222222224
all,128,directional,post_commit,0.002,directional,10,2304,0.004340277777777778
all,128,directional,post_commit,0.002,energy,46,2304,0.019965277777777776
all,128,directional,post_commit,0.002,spike,20,2304,0.008680555555555556
all,128,directional,post_commit,0.005,combined,1702,2304,0.7387152777777778
all,128,directional,post_commit,0.005,directional,1675,2304,0.7269965277777778
all,128,directional,post_commit,0.005,energy,50,2304,0.021701388888888888
all,128,directional,post_commit,0.005,spike,21,2304,0.009114583333333334
all,128,directional,post_commit,0.01,combined,2297,2304,0.9969618055555556
all,128,directional,post_commit,0.01,directional,2296,2304,0.9965277777777778
all,128,directional,post_commit,0.01,energy,89,2304,0.038628472222222224
all,128,directional,post_commit,0.01,spike,21,2304,0.009114583333333334
all,128,directional,post_commit,0.02,combined,2304,2304,1.0
all,128,directional,post_commit,0.02,directional,2304,2304,1.0
all,128,directional,post_commit,0.02,energy,638,2304,0.2769097222222222
all,128,directional,post_commit,0.02,spike,19,2304,0.008246527777777778
all,128,directional,post_commit,0.05,combined,2304,2304,1.0
all,128,directional,post_commit,0.05,directional,2304,2304,1.0
all,128,directional,post_commit,0.05,energy,2304,2304,1.0
all,128,directional,post_commit,0.05,spike,53,2304,0.023003472222222224
all,128,directional,post_commit,0.1,combined,2304,2304,1.0
all,128,directional,post_commit,0.1,directional,2304,2304,1.0
all,128,directional,post_commit,0.1,energy,2304,2304,1.0
all,128,directional,post_commit,0.1,spike,286,2304,0.12413194444444445
all,128,honest,none,0.0,combined,48,2304,0.020833333333333332
all,128,honest,none,0.0,directional,9,2304,0.00390625
all,128,honest,none,0.0,energy,43,2304,0.018663194444444444
all,128,honest,none,0.0,spike,20,2304,0.008680555555555556
all,128,sample_null,known_coordinates,0.002,combined,48,2304,0.020833333333333332
all,128,sample_null,known_coordinates,0.002,directional,9,2304,0.00390625
all,128,sample_null,known_coordinates,0.002,energy,43,2304,0.018663194444444444
all,128,sample_null,known_coordinates,0.002,spike,20,2304,0.008680555555555556
all,128,sample_null,known_coordinates,0.005,combined,48,2304,0.020833333333333332
all,128,sample_null,known_coordinates,0.005,directional,9,2304,0.00390625
all,128,sample_null,known_coordinates,0.005,energy,43,2304,0.018663194444444444
all,128,sample_null,known_coordinates,0.005,spike,20,2304,0.008680555555555556
all,128,sample_null,known_coordinates,0.01,combined,48,2304,0.020833333333333332
all,128,sample_null,known_coordinates,0.01,directional,9,2304,0.00390625
all,128,sample_null,known_coordinates,0.01,energy,43,2304,0.018663194444444444
all,128,sample_null,known_coordinates,0.01,spike,20,2304,0.008680555555555556
all,128,sample_null,known_coordinates,0.02,combined,48,2304,0.020833333333333332
all,128,sample_null,known_coordinates,0.02,directional,9,2304,0.00390625
all,128,sample_null,known_coordinates,0.02,energy,43,2304,0.018663194444444444
all,128,sample_null,known_coordinates,0.02,spike,20,2304,0.008680555555555556
all,128,sample_null,known_coordinates,0.05,combined,48,2304,0.020833333333333332
all,128,sample_null,known_coordinates,0.05,directional,9,2304,0.00390625
all,128,sample_null,known_coordinates,0.05,energy,43,2304,0.018663194444444444
all,128,sample_null,known_coordinates,0.05,spike,20,2304,0.008680555555555556
all,128,sample_null,known_coordinates,0.1,combined,48,2304,0.020833333333333332
all,128,sample_null,known_coordinates,0.1,directional,9,2304,0.00390625
all,128,sample_null,known_coordinates,0.1,energy,43,2304,0.018663194444444444
all,128,sample_null,known_coordinates,0.1,spike,20,2304,0.008680555555555556
all,128,sample_null,post_commit,0.002,combined,48,2304,0.020833333333333332
all,128,sample_null,post_commit,0.002,directional,9,2304,0.00390625
all,128,sample_null,post_commit,0.002,energy,45,2304,0.01953125
all,128,sample_null,post_commit,0.002,spike,19,2304,0.008246527777777778
all,128,sample_null,post_commit,0.005,combined,55,2304,0.023871527777777776
all,128,sample_null,post_commit,0.005,directional,7,2304,0.0030381944444444445
all,128,sample_null,post_commit,0.005,energy,51,2304,0.022135416666666668
all,128,sample_null,post_commit,0.005,spike,21,2304,0.009114583333333334
all,128,sample_null,post_commit,0.01,combined,92,2304,0.03993055555555555
all,128,sample_null,post_commit,0.01,directional,7,2304,0.0030381944444444445
all,128,sample_null,post_commit,0.01,energy,87,2304,0.037760416666666664
all,128,sample_null,post_commit,0.01,spike,20,2304,0.008680555555555556
all,128,sample_null,post_commit,0.02,combined,739,2304,0.3207465277777778
all,128,sample_null,post_commit,0.02,directional,78,2304,0.033854166666666664
all,128,sample_null,post_commit,0.02,energy,687,2304,0.2981770833333333
all,128,sample_null,post_commit,0.02,spike,22,2304,0.009548611111111112
all,128,sample_null,post_commit,0.05,combined,2304,2304,1.0
all,128,sample_null,post_commit,0.05,directional,761,2304,0.3302951388888889
all,128,sample_null,post_commit,0.05,energy,2304,2304,1.0
all,128,sample_null,post_commit,0.05,spike,57,2304,0.024739583333333332
all,128,sample_null,post_commit,0.1,combined,2304,2304,1.0
all,128,sample_null,post_commit,0.1,directional,1419,2304,0.6158854166666666
all,128,sample_null,post_commit,0.1,energy,2304,2304,1.0
all,128,sample_null,post_commit,0.1,spike,336,2304,0.14583333333333334
all,128,sparse_16,post_commit,0.002,combined,51,2304,0.022135416666666668
all,128,sparse_16,post_commit,0.002,directional,9,2304,0.00390625
all,128,sparse_16,post_commit,0.002,energy,47,2304,0.020399305555555556
all,128,sparse_16,post_commit,0.002,spike,20,2304,0.008680555555555556
all,128,sparse_16,post_commit,0.005,combined,96,2304,0.041666666666666664
all,128,sparse_16,post_commit,0.005,directional,10,2304,0.004340277777777778
all,128,sparse_16,post_commit,0.005,energy,63,2304,0.02734375
all,128,sparse_16,post_commit,0.005,spike,63,2304,0.02734375
all,128,sparse_16,post_commit,0.01,combined,137,2304,0.05946180555555555
all,128,sparse_16,post_commit,0.01,directional,15,2304,0.006510416666666667
all,128,sparse_16,post_commit,0.01,energy,129,2304,0.055989583333333336
all,128,sparse_16,post_commit,0.01,spike,108,2304,0.046875
all,128,sparse_16,post_commit,0.02,combined,336,2304,0.14583333333333334
all,128,sparse_16,post_commit,0.02,directional,234,2304,0.1015625
all,128,sparse_16,post_commit,0.02,energy,331,2304,0.14366319444444445
all,128,sparse_16,post_commit,0.02,spike,313,2304,0.13585069444444445
all,128,sparse_16,post_commit,0.05,combined,339,2304,0.14713541666666666
all,128,sparse_16,post_commit,0.05,directional,297,2304,0.12890625
all,128,sparse_16,post_commit,0.05,energy,336,2304,0.14583333333333334
all,128,sparse_16,post_commit,0.05,spike,316,2304,0.1371527777777778
all,128,sparse_16,post_commit,0.1,combined,315,2304,0.13671875
all,128,sparse_16,post_commit,0.1,directional,271,2304,0.11762152777777778
all,128,sparse_16,post_commit,0.1,energy,312,2304,0.13541666666666666
all,128,sparse_16,post_commit,0.1,spike,291,2304,0.12630208333333334
all,128,spike_1,post_commit,0.002,combined,50,2304,0.021701388888888888
all,128,spike_1,post_commit,0.002,directional,9,2304,0.00390625
all,128,spike_1,post_commit,0.002,energy,45,2304,0.01953125
all,128,spike_1,post_commit,0.002,spike,22,2304,0.009548611111111112
all,128,spike_1,post_commit,0.005,combined,75,2304,0.032552083333333336
all,128,spike_1,post_commit,0.005,directional,29,2304,0.012586805555555556
all,128,spike_1,post_commit,0.005,energy,70,2304,0.030381944444444444
all,128,spike_1,post_commit,0.005,spike,47,2304,0.020399305555555556
all,128,spike_1,post_commit,0.01,combined,69,2304,0.029947916666666668
all,128,spike_1,post_commit,0.01,directional,31,2304,0.013454861111111112
all,128,spike_1,post_commit,0.01,energy,64,2304,0.027777777777777776
all,128,spike_1,post_commit,0.01,spike,42,2304,0.018229166666666668
all,128,spike_1,post_commit,0.02,combined,69,2304,0.029947916666666668
all,128,spike_1,post_commit,0.02,directional,31,2304,0.013454861111111112
all,128,spike_1,post_commit,0.02,energy,64,2304,0.027777777777777776
all,128,spike_1,post_commit,0.02,spike,41,2304,0.017795138888888888
all,128,spike_1,post_commit,0.05,combined,62,2304,0.026909722222222224
all,128,spike_1,post_commit,0.05,directional,23,2304,0.009982638888888888
all,128,spike_1,post_commit,0.05,energy,57,2304,0.024739583333333332
all,128,spike_1,post_commit,0.05,spike,34,2304,0.014756944444444444
all,128,spike_1,post_commit,0.1,combined,67,2304,0.029079861111111112
all,128,spike_1,post_commit,0.1,directional,29,2304,0.012586805555555556
all,128,spike_1,post_commit,0.1,energy,62,2304,0.026909722222222224
all,128,spike_1,post_commit,0.1,spike,40,2304,0.017361111111111112
all,256,diffuse_balanced,post_commit,0.002,combined,75,2304,0.032552083333333336
all,256,diffuse_balanced,post_commit,0.002,directional,4,2304,0.001736111111111111
all,256,diffuse_balanced,post_commit,0.002,energy,71,2304,0.030815972222222224
all,256,diffuse_balanced,post_commit,0.002,spike,23,2304,0.009982638888888888
all,256,diffuse_balanced,post_commit,0.005,combined,89,2304,0.038628472222222224
all,256,diffuse_balanced,post_commit,0.005,directional,6,2304,0.0026041666666666665
all,256,diffuse_balanced,post_commit,0.005,energy,83,2304,0.03602430555555555
all,256,diffuse_balanced,post_commit,0.005,spike,23,2304,0.009982638888888888
all,256,diffuse_balanced,post_commit,0.01,combined,169,2304,0.07335069444444445
all,256,diffuse_balanced,post_commit,0.01,directional,12,2304,0.005208333333333333
all,256,diffuse_balanced,post_commit,0.01,energy,160,2304,0.06944444444444445
all,256,diffuse_balanced,post_commit,0.01,spike,26,2304,0.011284722222222222
all,256,diffuse_balanced,post_commit,0.02,combined,918,2304,0.3984375
all,256,diffuse_balanced,post_commit,0.02,directional,161,2304,0.06987847222222222
all,256,diffuse_balanced,post_commit,0.02,energy,771,2304,0.3346354166666667
all,256,diffuse_balanced,post_commit,0.02,spike,42,2304,0.018229166666666668
all,256,diffuse_balanced,post_commit,0.05,combined,2304,2304,1.0
all,256,diffuse_balanced,post_commit,0.05,directional,946,2304,0.4105902777777778
all,256,diffuse_balanced,post_commit,0.05,energy,2304,2304,1.0
all,256,diffuse_balanced,post_commit,0.05,spike,92,2304,0.03993055555555555
all,256,diffuse_balanced,post_commit,0.1,combined,2304,2304,1.0
all,256,diffuse_balanced,post_commit,0.1,directional,1504,2304,0.6527777777777778
all,256,diffuse_balanced,post_commit,0.1,energy,2304,2304,1.0
all,256,diffuse_balanced,post_commit,0.1,spike,469,2304,0.2035590277777778
all,256,directional,post_commit,0.002,combined,279,2304,0.12109375
all,256,directional,post_commit,0.002,directional,210,2304,0.09114583333333333
all,256,directional,post_commit,0.002,energy,69,2304,0.029947916666666668
all,256,directional,post_commit,0.002,spike,23,2304,0.009982638888888888
all,256,directional,post_commit,0.005,combined,1898,2304,0.8237847222222222
all,256,directional,post_commit,0.005,directional,1864,2304,0.8090277777777778
all,256,directional,post_commit,0.005,energy,82,2304,0.035590277777777776
all,256,directional,post_commit,0.005,spike,22,2304,0.009548611111111112
all,256,directional,post_commit,0.01,combined,2304,2304,1.0
all,256,directional,post_commit,0.01,directional,2304,2304,1.0
all,256,directional,post_commit,0.01,energy,140,2304,0.06076388888888889
all,256,directional,post_commit,0.01,spike,25,2304,0.010850694444444444
all,256,directional,post_commit,0.02,combined,2304,2304,1.0
all,256,directional,post_commit,0.02,directional,2304,2304,1.0
all,256,directional,post_commit,0.02,energy,767,2304,0.3328993055555556
all,256,directional,post_commit,0.02,spike,33,2304,0.014322916666666666
all,256,directional,post_commit,0.05,combined,2304,2304,1.0
all,256,directional,post_commit,0.05,directional,2304,2304,1.0
all,256,directional,post_commit,0.05,energy,2304,2304,1.0
all,256,directional,post_commit,0.05,spike,82,2304,0.035590277777777776
all,256,directional,post_commit,0.1,combined,2304,2304,1.0
all,256,directional,post_commit,0.1,directional,2304,2304,1.0
all,256,directional,post_commit,0.1,energy,2304,2304,1.0
all,256,directional,post_commit,0.1,spike,426,2304,0.18489583333333334
all,256,honest,none,0.0,combined,70,2304,0.030381944444444444
all,256,honest,none,0.0,directional,5,2304,0.002170138888888889
all,256,honest,none,0.0,energy,66,2304,0.028645833333333332
all,256,honest,none,0.0,spike,21,2304,0.009114583333333334
all,256,sample_null,known_coordinates,0.002,combined,70,2304,0.030381944444444444
all,256,sample_null,known_coordinates,0.002,directional,5,2304,0.002170138888888889
all,256,sample_null,known_coordinates,0.002,energy,66,2304,0.028645833333333332
all,256,sample_null,known_coordinates,0.002,spike,21,2304,0.009114583333333334
all,256,sample_null,known_coordinates,0.005,combined,70,2304,0.030381944444444444
all,256,sample_null,known_coordinates,0.005,directional,5,2304,0.002170138888888889
all,256,sample_null,known_coordinates,0.005,energy,66,2304,0.028645833333333332
all,256,sample_null,known_coordinates,0.005,spike,21,2304,0.009114583333333334
all,256,sample_null,known_coordinates,0.01,combined,70,2304,0.030381944444444444
all,256,sample_null,known_coordinates,0.01,directional,5,2304,0.002170138888888889
all,256,sample_null,known_coordinates,0.01,energy,66,2304,0.028645833333333332
all,256,sample_null,known_coordinates,0.01,spike,21,2304,0.009114583333333334
all,256,sample_null,known_coordinates,0.02,combined,70,2304,0.030381944444444444
all,256,sample_null,known_coordinates,0.02,directional,5,2304,0.002170138888888889
