checkpoint,rho,prompts,mean_pass_rate,mean_fail_rate,mean_inconclusive_rate,mean_stopping_K,median_prompt_energy,smoke_threshold
prefill__C1,0.0,12,0.7511783333333334,0.0009933333333333333,0.24782833333333332,96.29181333333334,1.4639666607748611e-05,3.799015097715494e-05
prefill__C1,0.01,12,8.333333333333334e-06,0.9999916666666667,0.0,19.15664,0.00011463966660774861,3.799015097715494e-05
prefill__C1,0.02,12,0.0,1.0,0.0,8.28168,0.00041463966660774867,3.799015097715494e-05
prefill__C1,0.05,12,0.0,1.0,0.0,8.000359999999999,0.002514639666607749,3.799015097715494e-05
prefill__C2,0.0,12,0.75102,0.001225,0.24775499999999998,97.89186666666666,1.5157739979737147e-05,3.826957817670183e-05
prefill__C2,0.01,12,5e-06,0.9999950000000001,0.0,19.236253333333334,0.00011515773997973716,3.826957817670183e-05
prefill__C2,0.02,12,0.0,1.0,0.0,8.2866,0.0004151577399797372,3.826957817670183e-05
prefill__C2,0.05,12,0.0,1.0,0.0,8.00044,0.0025151577399797377,3.826957817670183e-05
prefill__C3,0.0,12,0.31801833333333335,0.156085,0.5258966666666667,215.9764,0.0002647046215625094,0.0003357878999127994
prefill__C3,0.01,12,0.006131666666666667,0.3364416666666667,0.6574266666666667,211.8541866666667,0.00036470462156250945,0.0003357878999127994
prefill__C3,0.02,12,6e-05,0.9999033333333333,3.6666666666666666e-05,49.75157333333334,0.0006647046215625095,0.0003357878999127994
prefill__C3,0.05,12,0.0,1.0,0.0,8.668213333333336,0.00276470462156251,0.0003357878999127994
