run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000081,20260513,single,0.05,0.9,random,eval_081,13,11,cand_lan_e_f,3,scalar16,1,0.92612,1,0.360349,0.0165,1,0,random_scalar16
a_min_000082,20260513,single,0.05,0.9,random,eval_082,13,11,cand_wan_a_d,3,scalar16,1,1.0687,1,0.360349,0.009,1,0,random_scalar16
a_min_000083,20260513,single,0.05,0.9,random,eval_083,13,11,cand_wan_a_d,3,scalar16,1,1.06852,1,0.360349,0.009,1,0,random_scalar16
a_min_000084,20260513,single,0.05,0.9,random,eval_084,13,11,cand_wan_a_c,3,scalar16,1,1.08532,1,0.360349,0.011,1,0,random_scalar16
a_min_000085,20260513,single,0.05,0.9,random,eval_085,13,11,cand_lan_b_d,3,scalar16,1,1.01021,1,0.360349,0.0245,1,0,random_scalar16
a_min_000086,20260513,single,0.05,0.9,random,eval_086,13,11,cand_lan_a_b,3,scalar16,1,0.94265,1,0.360349,0.015,1,0,random_scalar16
a_min_000087,20260513,single,0.05,0.9,random,eval_087,13,11,cand_homo_ff,1,scalar16,1,1.21801,1,0.360349,0.0,0,1,random_scalar16
a_min_000088,20260513,single,0.05,0.9,random,eval_088,13,11,cand_wan_e_f,3,scalar16,1,1.01983,1,0.360349,0.0165,1,0,random_scalar16
a_min_000089,20260513,single,0.05,0.9,random,eval_089,13,11,cand_wan_a_c,3,scalar16,1,1.08685,1,0.360349,0.011,1,0,random_scalar16
a_min_000090,20260513,single,0.05,0.9,random,eval_090,13,11,cand_wan_a_b,3,scalar16,1,1.03492,1,0.360349,0.015,1,0,random_scalar16
a_min_000091,20260513,single,0.05,0.9,random,eval_091,13,11,cand_lan_b_d,3,scalar16,1,1.0103,1,0.360349,0.0245,1,0,random_scalar16
a_min_000092,20260513,single,0.05,0.9,random,eval_092,13,11,cand_wan_b_d,3,scalar16,1,1.10248,1,0.360349,0.0245,1,0,random_scalar16
a_min_000093,20260513,single,0.05,0.9,random,eval_093,13,11,cand_wan_b_d,3,scalar16,1,1.1023,1,0.360349,0.0245,1,0,random_scalar16
