family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
gaussian,1,16,8.0,6.6039168653151705,0.36258,100000,100000
gaussian,2,16,1.0,4.578595168892896,0.01058,100000,100000
gaussian,2,16,1.4,4.578595168892896,0.03885,100000,100000
gaussian,2,16,2.0,4.578595168892896,0.10181,100000,100000
gaussian,2,16,8.0,4.578595168892896,0.56455,100000,100000
gaussian,4,16,1.0,3.316548484536245,0.01011,100000,100000
gaussian,4,16,1.4,3.316548484536245,0.05116,100000,100000
gaussian,4,16,2.0,3.316548484536245,0.15653,100000,100000
gaussian,4,16,8.0,3.316548484536245,0.7992,100000,100000
gaussian,8,16,1.0,2.519404197637365,0.00938,100000,100000
gaussian,8,16,1.4,2.519404197637365,0.07077,100000,100000
gaussian,8,16,2.0,2.519404197637365,0.25874,100000,100000
gaussian,8,16,8.0,2.519404197637365,0.96089,100000,100000
gaussian,16,16,1.0,2.0031490054732037,0.00955,100000,100000
gaussian,16,16,1.4,2.0031490054732037,0.11507,100000,100000
gaussian,16,16,2.0,2.0031490054732037,0.44943,100000,100000
gaussian,16,16,8.0,2.0031490054732037,0.9988,100000,100000
gaussian,32,16,1.0,1.6699598066285215,0.01056,100000,100000
gaussian,32,16,1.4,1.6699598066285215,0.20784,100000,100000
gaussian,32,16,2.0,1.6699598066285215,0.73273,100000,100000
gaussian,32,16,8.0,1.6699598066285215,1.0,100000,100000
gaussian,1,256,1.0,6.6039168653151705,0.01003,100000,100000
gaussian,1,256,1.4,6.6039168653151705,0.02975,100000,100000
gaussian,1,256,2.0,6.6039168653151705,0.06898,100000,100000
gaussian,1,256,8.0,6.6039168653151705,0.36309,100000,100000
gaussian,2,256,1.0,4.578595168892896,0.00988,100000,100000
gaussian,2,256,1.4,4.578595168892896,0.03707,100000,100000
gaussian,2,256,2.0,4.578595168892896,0.10048,100000,100000
gaussian,2,256,8.0,4.578595168892896,0.56461,100000,100000
gaussian,4,256,1.0,3.316548484536245,0.00978,100000,100000
gaussian,4,256,1.4,3.316548484536245,0.05004,100000,100000
gaussian,4,256,2.0,3.316548484536245,0.15654,100000,100000
gaussian,4,256,8.0,3.316548484536245,0.80158,100000,100000
gaussian,8,256,1.0,2.519404197637365,0.00999,100000,100000
gaussian,8,256,1.4,2.519404197637365,0.07169,100000,100000
gaussian,8,256,2.0,2.519404197637365,0.25879,100000,100000
gaussian,8,256,8.0,2.519404197637365,0.9613,100000,100000
gaussian,16,256,1.0,2.0031490054732037,0.01072,100000,100000
gaussian,16,256,1.4,2.0031490054732037,0.11545,100000,100000
gaussian,16,256,2.0,2.0031490054732037,0.45057,100000,100000
gaussian,16,256,8.0,2.0031490054732037,0.99897,100000,100000
gaussian,32,256,1.0,1.6699598066285215,0.00981,100000,100000
gaussian,32,256,1.4,1.6699598066285215,0.21013,100000,100000
gaussian,32,256,2.0,1.6699598066285215,0.73025,100000,100000
gaussian,32,256,8.0,1.6699598066285215,1.0,100000,100000
