pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.363277
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.213263
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.01,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.105532
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.02,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.036483
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.05,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.023576
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.1,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.078046
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.15,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.018836
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.2,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,6.996303
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.01,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.142468
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.02,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.224798
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.180339
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.158673
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.205506
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.19231
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.01,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.122477
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.02,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.177828
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.05,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.13669
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.1,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.151173
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.15,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.145787
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.2,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.095608
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.01,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.46426
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.02,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.545936
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.487391
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.476321
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.5277
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.4792
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.01,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.395442
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.02,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.40781
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.05,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.371904
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.1,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.397158
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.15,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.382391
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.2,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.36669
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.01,200,0.37,0.37,0,0,,no_logits_or_output_in_capture,C2,6.890736
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.02,200,0.735,0.735,0,0,,no_logits_or_output_in_capture,C2,6.8874
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.882217
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.924199
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.875671
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.871377
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,scale_perturbation,material_tamper,0.01,200,0.045,0.045,0,0,,no_logits_or_output_in_capture,C2,6.833312
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,scale_perturbation,material_tamper,0.02,200,0.07,0.07,0,0,,no_logits_or_output_in_capture,C2,6.808644
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,scale_perturbation,material_tamper,0.05,200,0.165,0.165,0,0,,no_logits_or_output_in_capture,C2,6.848348
