pair_id,pair_label,variant,family,tolerance_mode,percentile,tolerance_scale,token_samples,channel_samples,projection_dim,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,calib_honest_hetero_fpr,calib_tamper_tpr,calib_tamper_locacc,calib_prompt_count
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.99,1.0,16,0,8,128,512,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.99,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.99,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.99,0.5,16,0,8,128,512,0.225,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.99,1.0,16,0,8,128,512,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.99,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.99,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,checkpoint_specific,99.0,0.5,16,0,16,256,1024,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,checkpoint_specific,99.0,1.0,16,0,16,256,1024,0.075,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,checkpoint_specific,99.0,1.5,16,0,16,256,1024,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,checkpoint_specific,99.0,2.0,16,0,16,256,1024,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,global_shared,99.0,0.5,16,0,16,256,1024,0.9,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,global_shared,99.0,1.0,16,0,16,256,1024,0.025,1.0,1.0,40
