K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
4,0.02,1,3,0.041666666666666664,0.7916666666666666,0.375,0.6666666666666666,0.20902115493602585,2.5091207076203977e-05
4,0.02,16,3,0.041666666666666664,0.75,0.25,0.75,0.3701522583370085,1.1660426877820253e-18
4,0.02,256,3,0.041666666666666664,0.7916666666666666,0.375,0.75,0.43126991147630733,2.3320853755640507e-18
16,0.02,1,3,0.125,1.0,1.0,0.9166666666666666,0.13351831225514252,2.118638797496973e-05
16,0.02,16,3,0.125,1.0,1.0,0.9166666666666666,0.337601731116065,1.1660426877820253e-18
16,0.02,256,3,0.125,0.9583333333333334,0.875,0.9166666666666666,0.234483226509665,2.3320853755640507e-18
