threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1_seed_secret,sign_balanced_sr,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047882,0.571429,0.006536,0.027523,0.002
TM1_seed_secret,sign_balanced_sr,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.980769,0.119683,0.8,0.010479,0.035034,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.119683,0.8,0.010479,0.035034,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.119683,0.727273,0.011852,0.037478,0.005
TM1_seed_secret,sign_balanced_sr,0.01,C3,Combined,520,0.9900995,0.061538,0.009615,0.938462,0.938462,0.239158,0.90625,0.043925,0.085583,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.239158,0.88,0.032774,0.070008,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,SignRadial,520,0.008965,0.036538,0.009615,0.963462,0.963462,0.239158,0.842105,0.023514,0.05636,0.01
TM1_seed_secret,sign_balanced_sr,0.02,C3,Combined,520,0.9900995,0.546154,0.009615,0.453846,0.453846,0.476514,0.975352,0.50318,0.588451,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C3,ProjCos4,520,0.00061048,0.596154,0.015385,0.403846,0.403846,0.476514,0.967742,0.553425,0.637473,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C3,SignRadial,520,0.008965,0.167308,0.009615,0.832692,0.832692,0.476514,0.942529,0.137691,0.201803,0.02
TM1_seed_secret,sign_balanced_sr,0.05,C3,Combined,520,0.9900995,0.994231,0.009615,0.005769,0.005769,1.159766,0.978723,0.983177,0.998036,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C3,ProjCos4,520,0.00061048,0.996154,0.015385,0.003846,0.003846,1.159766,0.967181,0.986086,0.998945,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C3,SignRadial,520,0.008965,0.476923,0.009615,0.523077,0.523077,1.159766,0.96371,0.43432,0.519864,0.05
TM1_seed_secret,sign_balanced_sr,0.1,C3,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,2.127504,0.978846,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.127504,0.967245,0.989188,0.99966,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C3,SignRadial,520,0.008965,0.711538,0.009615,0.288462,0.288462,2.127504,0.967568,0.67116,0.748815,0.1
TM1_seed_secret,tol_hug_combined,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.65,0.039506,0.6,0.004114,0.022309,0.001626
TM1_seed_secret,tol_hug_combined,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.648077,0.039506,0.75,0.007816,0.030061,0.001626
TM1_seed_secret,tol_hug_combined,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.642308,0.039506,0.571429,0.006536,0.027523,0.001626
TM1_seed_secret,tol_hug_combined,0.005,C3,Combined,520,0.9900995,0.017308,0.009615,0.982692,0.826923,0.099925,0.777778,0.009132,0.032563,0.004133
TM1_seed_secret,tol_hug_combined,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.825,0.099925,0.8,0.010479,0.035034,0.004133
TM1_seed_secret,tol_hug_combined,0.005,C3,SignRadial,520,0.008965,0.019231,0.009615,0.980769,0.821154,0.099925,0.7,0.010479,0.035034,0.004133
TM1_seed_secret,tol_hug_combined,0.01,C3,Combined,520,0.9900995,0.044231,0.009615,0.955769,0.803846,0.182662,0.913043,0.029652,0.065495,0.007585
TM1_seed_secret,tol_hug_combined,0.01,C3,ProjCos4,520,0.00061048,0.038462,0.015385,0.961538,0.809615,0.182662,0.9,0.025034,0.058658,0.007585
TM1_seed_secret,tol_hug_combined,0.01,C3,SignRadial,520,0.008965,0.028846,0.009615,0.971154,0.815385,0.182662,0.8,0.017558,0.047045,0.007585
TM1_seed_secret,tol_hug_combined,0.02,C3,Combined,520,0.9900995,0.180769,0.009615,0.819231,0.676923,0.264311,0.968085,0.150073,0.216148,0.01109
TM1_seed_secret,tol_hug_combined,0.02,C3,ProjCos4,520,0.00061048,0.176923,0.015385,0.823077,0.680769,0.264311,0.945652,0.146528,0.212056,0.01109
TM1_seed_secret,tol_hug_combined,0.02,C3,SignRadial,520,0.008965,0.084615,0.009615,0.915385,0.769231,0.264311,0.909091,0.063635,0.111688,0.01109
TM1_seed_secret,tol_hug_combined,0.05,C3,Combined,520,0.9900995,0.253846,0.009615,0.746154,0.603846,0.331879,0.977273,0.218339,0.292964,0.014278
TM1_seed_secret,tol_hug_combined,0.05,C3,ProjCos4,520,0.00061048,0.244231,0.015385,0.755769,0.613462,0.331879,0.944882,0.209267,0.282945,0.014278
TM1_seed_secret,tol_hug_combined,0.05,C3,SignRadial,520,0.008965,0.130769,0.009615,0.869231,0.723077,0.331879,0.926471,0.104479,0.162475,0.014278
TM1_seed_secret,tol_hug_combined,0.1,C3,Combined,520,0.9900995,0.255769,0.009615,0.744231,0.601923,0.364467,0.977444,0.220156,0.294965,0.016037
TM1_seed_secret,tol_hug_combined,0.1,C3,ProjCos4,520,0.00061048,0.246154,0.015385,0.753846,0.611538,0.364467,0.945312,0.21108,0.284951,0.016037
TM1_seed_secret,tol_hug_combined,0.1,C3,SignRadial,520,0.008965,0.142308,0.009615,0.857692,0.711538,0.364467,0.932432,0.114898,0.174963,0.016037
TM1_seed_secret,tol_hug_projcos,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.782692,0.047193,0.6,0.004114,0.022309,0.001973
TM1_seed_secret,tol_hug_projcos,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.776923,0.047193,0.75,0.007816,0.030061,0.001973
TM1_seed_secret,tol_hug_projcos,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.775,0.047193,0.571429,0.006536,0.027523,0.001973
TM1_seed_secret,tol_hug_projcos,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.973077,0.11796,0.8,0.010479,0.035034,0.004933
