mode_id,p_a,d,m,D_single,D_m,meets_single_target,meets_persistent_target
V0_passive,0.02,0.9,10,0.018000000000000002,0.1660982641415416,False,False
V0_passive,0.05,0.9,10,0.045000000000000005,0.3689936701379055,False,False
V0_passive,0.1,0.9,10,0.09000000000000001,0.6105838818818924,False,False
V0_passive,0.2,0.9,10,0.18000000000000002,0.8625519686640395,False,False
V0_passive,0.5,0.9,10,0.45,0.9974670483788086,False,True
V0_passive,1.0,0.9,10,0.9,0.9999999999,False,True
V0_passive,0,0.9,50,0.0,0.0,False,False
V0_passive,0.001,0.9,50,0.0009000000000000001,0.044021888542879695,False,False
V0_passive,0.002,0.9,50,0.0018000000000000002,0.08614292910371046,False,False
V0_passive,0.005,0.9,50,0.0045000000000000005,0.20188914400566027,False,False
V0_passive,0.01,0.9,50,0.009000000000000001,0.3636695229588428,False,False
V0_passive,0.02,0.9,50,0.018000000000000002,0.5967499876632678,False,False
V0_passive,0.05,0.9,50,0.045000000000000005,0.899961175672938,False,False
V0_passive,0.1,0.9,50,0.09000000000000001,0.9910449169875944,False,True
V0_passive,0.2,0.9,50,0.18000000000000002,0.9999509439451022,False,True
V0_passive,0.5,0.9,50,0.45,0.9999999999998958,False,True
V0_passive,1.0,0.9,50,0.9,1.0,False,True
V0_passive,0,0.9,100,0.0,0.0,False,False
V0_passive,0.001,0.9,100,0.0009000000000000001,0.08610585041487773,False,False
V0_passive,0.002,0.9,100,0.0018000000000000002,0.164865253972854,False,False
V0_passive,0.005,0.9,100,0.0045000000000000005,0.36301906154398234,False,False
V0_passive,0.01,0.9,100,0.009000000000000001,0.5950835239885733,False,False
V0_passive,0.02,0.9,100,0.018000000000000002,0.8373894275504253,False,False
V0_passive,0.05,0.9,100,0.045000000000000005,0.9899922336272592,False,False
V0_passive,0.1,0.9,100,0.09000000000000001,0.999919806488241,False,True
V0_passive,0.2,0.9,100,0.18000000000000002,0.9999999975935034,False,True
V0_passive,0.5,0.9,100,0.45,1.0,False,True
V0_passive,1.0,0.9,100,0.9,1.0,False,True
V0_passive,0,0.95,1,0.0,0.0,False,False
V0_passive,0.001,0.95,1,0.00095,0.0009500000000000064,False,False
V0_passive,0.002,0.95,1,0.0019,0.0019000000000000128,False,False
V0_passive,0.005,0.95,1,0.00475,0.004750000000000032,False,False
V0_passive,0.01,0.95,1,0.0095,0.009499999999999953,False,False
V0_passive,0.02,0.95,1,0.019,0.019000000000000017,False,False
V0_passive,0.05,0.95,1,0.0475,0.04749999999999999,False,False
V0_passive,0.1,0.95,1,0.095,0.09499999999999997,False,False
V0_passive,0.2,0.95,1,0.19,0.18999999999999995,False,False
V0_passive,0.5,0.95,1,0.475,0.475,False,False
V0_passive,1.0,0.95,1,0.95,0.95,False,False
V0_passive,0,0.95,5,0.0,0.0,False,False
V0_passive,0.001,0.95,5,0.00095,0.004740983569678225,False,False
V0_passive,0.002,0.95,5,0.0019,0.009463968524864308,False,False
V0_passive,0.005,0.95,5,0.00475,0.02352544417583624,False,False
V0_passive,0.01,0.95,5,0.0095,0.04660603310206535,False,False
V0_passive,0.02,0.95,5,0.019,0.09145794087109904,False,False
V0_passive,0.05,0.95,5,0.0475,0.21598400723623046,False,False
V0_passive,0.1,0.95,5,0.095,0.3929242346843749,False,False
V0_passive,0.2,0.95,5,0.19,0.6513215599,False,False
V0_passive,0.5,0.95,5,0.475,0.960116201171875,False,False
V0_passive,1.0,0.95,5,0.95,0.9999996875,False,True
V0_passive,0,0.95,10,0.0,0.0,False,False
V0_passive,0.001,0.95,10,0.00095,0.009459490214148603,False,False
V0_passive,0.002,0.95,10,0.0019,0.018838370349488986,False,False
V0_passive,0.005,0.95,10,0.00475,0.04649744182800197,False,False
V0_passive,0.01,0.95,10,0.0095,0.09103994388261993,False,False
V0_passive,0.02,0.95,10,0.019,0.17455132679381669,False,False
V0_passive,0.05,0.95,10,0.0475,0.38531892309064075,False,False
V0_passive,0.1,0.95,10,0.095,0.6314590151664481,False,False
V0_passive,0.2,0.95,10,0.19,0.8784233454094307,False,False
V0_passive,0.5,0.95,10,0.475,0.9984092825910377,False,True
V0_passive,1.0,0.95,10,0.95,0.9999999999999023,False,True
V0_passive,0,0.95,50,0.0,0.0,False,False
V0_passive,0.001,0.95,50,0.00095,0.046411056097055314,False,False
V0_passive,0.002,0.95,50,0.0019,0.09070923683121179,False,False
V0_passive,0.005,0.95,50,0.00475,0.21184921435272508,False,False
