mode_id,p_a,u,E_C_verify,cost_ratio_vs_duplicate,within_cost_cap
L1_prefill_local,0.002,1.0,0.050980000000000004,0.050980000000000004,True
L1_prefill_local,0.005,1.0,0.052450000000000004,0.052450000000000004,True
L1_prefill_local,0.01,1.0,0.054900000000000004,0.054900000000000004,True
L1_prefill_local,0.02,1.0,0.059800000000000006,0.059800000000000006,True
L1_prefill_local,0.05,1.0,0.07450000000000001,0.07450000000000001,True
L1_prefill_local,0.1,1.0,0.09899999999999999,0.09899999999999999,True
L1_prefill_local,0.2,1.0,0.148,0.148,True
L1_prefill_local,0.5,1.0,0.295,0.295,True
L1_prefill_local,1.0,1.0,0.5399999999999999,0.5399999999999999,False
L2_decode_local,0,0,0.08,0.08,True
L2_decode_local,0.001,0,0.08049,0.08049,True
L2_decode_local,0.002,0,0.08098,0.08098,True
L2_decode_local,0.005,0,0.08245,0.08245,True
L2_decode_local,0.01,0,0.0849,0.0849,True
L2_decode_local,0.02,0,0.0898,0.0898,True
L2_decode_local,0.05,0,0.10450000000000001,0.10450000000000001,True
L2_decode_local,0.1,0,0.129,0.129,True
L2_decode_local,0.2,0,0.178,0.178,True
L2_decode_local,0.5,0,0.325,0.325,True
L2_decode_local,1.0,0,0.57,0.57,False
L2_decode_local,0,0.01,0.08,0.08,True
L2_decode_local,0.001,0.01,0.08049200000000001,0.08049200000000001,True
L2_decode_local,0.002,0.01,0.080984,0.080984,True
L2_decode_local,0.005,0.01,0.08245999999999999,0.08245999999999999,True
L2_decode_local,0.01,0.01,0.08492000000000001,0.08492000000000001,True
L2_decode_local,0.02,0.01,0.08984,0.08984,True
L2_decode_local,0.05,0.01,0.10460000000000001,0.10460000000000001,True
L2_decode_local,0.1,0.01,0.1292,0.1292,True
L2_decode_local,0.2,0.01,0.1784,0.1784,True
L2_decode_local,0.5,0.01,0.326,0.326,True
L2_decode_local,1.0,0.01,0.572,0.572,False
L2_decode_local,0,0.1,0.08,0.08,True
L2_decode_local,0.001,0.1,0.08051000000000001,0.08051000000000001,True
L2_decode_local,0.002,0.1,0.08102,0.08102,True
L2_decode_local,0.005,0.1,0.08255,0.08255,True
L2_decode_local,0.01,0.1,0.08510000000000001,0.08510000000000001,True
L2_decode_local,0.02,0.1,0.0902,0.0902,True
L2_decode_local,0.05,0.1,0.10550000000000001,0.10550000000000001,True
L2_decode_local,0.1,0.1,0.131,0.131,True
L2_decode_local,0.2,0.1,0.182,0.182,True
L2_decode_local,0.5,0.1,0.335,0.335,True
L2_decode_local,1.0,0.1,0.59,0.59,False
L2_decode_local,0,0.5,0.08,0.08,True
L2_decode_local,0.001,0.5,0.08059000000000001,0.08059000000000001,True
L2_decode_local,0.002,0.5,0.08118,0.08118,True
L2_decode_local,0.005,0.5,0.08295,0.08295,True
L2_decode_local,0.01,0.5,0.0859,0.0859,True
L2_decode_local,0.02,0.5,0.0918,0.0918,True
L2_decode_local,0.05,0.5,0.10950000000000001,0.10950000000000001,True
L2_decode_local,0.1,0.5,0.139,0.139,True
L2_decode_local,0.2,0.5,0.198,0.198,True
L2_decode_local,0.5,0.5,0.375,0.375,True
L2_decode_local,1.0,0.5,0.6699999999999999,0.6699999999999999,False
L2_decode_local,0,1.0,0.08,0.08,True
L2_decode_local,0.001,1.0,0.08069000000000001,0.08069000000000001,True
L2_decode_local,0.002,1.0,0.08138,0.08138,True
L2_decode_local,0.005,1.0,0.08345,0.08345,True
L2_decode_local,0.01,1.0,0.0869,0.0869,True
L2_decode_local,0.02,1.0,0.09380000000000001,0.09380000000000001,True
L2_decode_local,0.05,1.0,0.11450000000000002,0.11450000000000002,True
L2_decode_local,0.1,1.0,0.14900000000000002,0.14900000000000002,True
L2_decode_local,0.2,1.0,0.218,0.218,True
L2_decode_local,0.5,1.0,0.42500000000000004,0.42500000000000004,True
L2_decode_local,1.0,1.0,0.77,0.77,False
D0_duplicate,0,0,1.0,1.0,False
D0_duplicate,0.001,0,1.0,1.0,False
D0_duplicate,0.002,0,1.0,1.0,False
D0_duplicate,0.005,0,1.0,1.0,False
D0_duplicate,0.01,0,1.0,1.0,False
D0_duplicate,0.02,0,1.0,1.0,False
D0_duplicate,0.05,0,1.0,1.0,False
D0_duplicate,0.1,0,1.0,1.0,False
D0_duplicate,0.2,0,1.0,1.0,False
D0_duplicate,0.5,0,1.0,1.0,False
D0_duplicate,1.0,0,1.0,1.0,False
D0_duplicate,0,0.01,1.0,1.0,False
D0_duplicate,0.001,0.01,1.0,1.0,False
D0_duplicate,0.002,0.01,1.0,1.0,False
D0_duplicate,0.005,0.01,1.0,1.0,False
D0_duplicate,0.01,0.01,1.0,1.0,False
D0_duplicate,0.02,0.01,1.0,1.0,False
D0_duplicate,0.05,0.01,1.0,1.0,False
D0_duplicate,0.1,0.01,1.0,1.0,False
D0_duplicate,0.2,0.01,1.0,1.0,False
D0_duplicate,0.5,0.01,1.0,1.0,False
D0_duplicate,1.0,0.01,1.0,1.0,False
D0_duplicate,0,0.1,1.0,1.0,False
D0_duplicate,0.001,0.1,1.0,1.0,False
