prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws,projection_family
eval_001,prefill__C1,16384,4,0.02,1,0,3,0.0002119504465822639,0.0,0.875,0.5,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.29699394639749666,1.587607144395931,4,8,lut8
eval_001,prefill__C1,16384,16,0.02,1,0,3,7.967603207041262e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.2033339601245192,0.5417292117637578,4,8,lut8
eval_001,prefill__C1,16384,4,0.02,16,2,3,0.0002119504465822639,0.0,1.0,0.75,3.788488441181147e-05,0.00043788488441181156,0.02,-5.421010862427522e-20,-2.687802535427661e-20,0.26560180623184115,1.1916922728363313,4,8,lut8
eval_001,prefill__C1,16384,16,0.02,16,1,3,7.967603207041262e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,-1.0842021724855044e-19,-5.375605070855322e-20,0.21729989235378505,0.5108395341543348,4,8,lut8
eval_001,prefill__C1,16384,4,0.02,256,1,3,0.0002119504465822639,0.0,0.625,0.75,3.788488441181147e-05,0.0004378848844118116,0.020000000000000004,8.673617379884035e-19,4.3004840566842576e-19,0.42721171139201836,0.7011899536633173,4,8,lut8
eval_001,prefill__C1,16384,16,0.02,256,2,3,7.967603207041262e-05,0.0,1.0,1.0,3.788488441181147e-05,0.00043788488441181146,0.02,1.6263032587282567e-18,8.063407606282983e-19,0.23195179168911523,0.4829977409285329,4,8,lut8
eval_001,prefill__C2,16384,4,0.02,1,2,3,9.028769933455412e-05,0.0,0.875,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.6172232999037158,1.2157790003948763,4,8,lut8
eval_001,prefill__C2,16384,16,0.02,1,2,3,6.580244371899105e-05,0.0,1.0,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.11854163644639959,0.4195642164579834,4,8,lut8
eval_001,prefill__C2,16384,4,0.02,16,0,3,9.028769933455412e-05,0.0,1.0,0.75,3.83204294507862e-05,0.00043832042945078626,0.02,8.673617379884035e-19,4.2759748430722454e-19,0.29909190331241486,0.7465930802855859,4,8,lut8
eval_001,prefill__C2,16384,16,0.02,16,0,3,6.580244371899105e-05,0.0,1.0,1.0,3.83204294507862e-05,0.00043832042945078626,0.02,8.673617379884035e-19,4.2759748430722454e-19,0.25767671416456406,0.37880506980699336,4,8,lut8
eval_001,prefill__C2,16384,4,0.02,256,0,3,9.028769933455412e-05,0.0,1.0,0.75,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.528861519907684,0.7930440182971018,4,8,lut8
eval_001,prefill__C2,16384,16,0.02,256,0,3,6.580244371899105e-05,0.0,1.0,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.329566324776129,0.7240184777054685,4,8,lut8
eval_001,prefill__C3,16384,4,0.02,1,0,3,0.0009335054249029936,0.0,0.25,0.0,0.00032980081512042585,0.000729819041793688,0.02,0.00014931290736355283,2.5091207076203977e-05,0.3836398278011611,0.7242837588557698,4,8,lut8
eval_001,prefill__C3,16384,16,0.02,1,1,3,0.00045215053195111316,0.25,1.0,0.75,0.00032980081512042585,0.0007298162052676616,0.02,0.0001260760861550999,2.118638797496973e-05,0.27993444948949914,0.6757377919510056,4,8,lut8
eval_001,prefill__C3,16384,4,0.02,16,1,3,0.0009335054249029936,0.0,0.25,0.25,0.00032980081512042585,0.0007298008151204259,0.02,0.0,0.0,0.31388275533375426,0.6581927261861973,4,8,lut8
eval_001,prefill__C3,16384,16,0.02,16,1,3,0.00045215053195111316,0.25,0.875,0.75,0.00032980081512042585,0.0007298008151204259,0.02,0.0,0.0,0.18935134174702062,1.088201807442974,4,8,lut8
eval_001,prefill__C3,16384,4,0.02,256,0,3,0.0009335054249029936,0.0,0.5,0.0,0.00032980081512042585,0.0007298008151204259,0.02,-1.3877787807814457e-17,-2.3320853755640507e-18,0.5622659621667214,0.8486834410340861,4,8,lut8
eval_001,prefill__C3,16384,16,0.02,256,0,3,0.00045215053195111316,0.25,0.875,0.5,0.00032980081512042585,0.0007298008151204259,0.02,-1.3877787807814457e-17,-2.3320853755640507e-18,0.23116217052609134,0.7847020093826449,4,8,lut8
