K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
4,0.02,1,3,0.0,0.6666666666666666,0.25,0.5,0.3836398278011611,2.5091207076203977e-05
4,0.02,16,3,0.0,0.75,0.25,0.5833333333333334,0.29909190331241486,4.2759748430722454e-19
4,0.02,256,3,0.0,0.7083333333333334,0.5,0.5,0.528861519907684,2.3320853755640507e-18
16,0.02,1,3,0.08333333333333333,1.0,1.0,0.9166666666666666,0.2033339601245192,2.118638797496973e-05
16,0.02,16,3,0.08333333333333333,0.9583333333333334,0.875,0.9166666666666666,0.21729989235378505,4.2759748430722454e-19
16,0.02,256,3,0.08333333333333333,0.9583333333333334,0.875,0.8333333333333334,0.23195179168911523,2.3320853755640507e-18
