family,rho,SignRadial,ProjCos4,Combined,SignRadial_fixed,ProjCos4_fixed,Combined_fixed
sign_balanced_sr,0.002,0.009615384615384616,0.009615384615384616,0.013461538461538462,0.011538461538461539,0.013461538461538462,0.026923076923076925
sign_balanced_sr,0.005,0.015384615384615385,0.019230769230769232,0.01730769230769231,0.011538461538461539,0.01730769230769231,0.03076923076923077
sign_balanced_sr,0.01,0.03461538461538462,0.05576923076923077,0.023076923076923078,0.011538461538461539,0.04230769230769231,0.05576923076923077
sign_balanced_sr,0.02,0.13076923076923078,0.3096153846153846,0.14038461538461539,0.011538461538461539,0.5634615384615385,0.47115384615384615
sign_balanced_sr,0.05,0.45384615384615384,0.9846153846153847,0.7711538461538462,0.011538461538461539,0.9961538461538462,0.9923076923076923
sign_balanced_sr,0.1,0.6826923076923077,1.0,0.9961538461538462,0.011538461538461539,0.9980769230769231,0.9980769230769231
null_space_projcos,0.002,0.009615384615384616,0.009615384615384616,0.013461538461538462,0.015384615384615385,0.011538461538461539,0.026923076923076925
null_space_projcos,0.005,0.015384615384615385,0.019230769230769232,0.01730769230769231,0.023076923076923078,0.011538461538461539,0.032692307692307694
null_space_projcos,0.01,0.03461538461538462,0.05384615384615385,0.023076923076923078,0.04038461538461539,0.011538461538461539,0.04807692307692308
null_space_projcos,0.02,0.13076923076923078,0.31346153846153846,0.14423076923076922,0.17115384615384616,0.011538461538461539,0.15576923076923077
null_space_projcos,0.05,0.45,0.9846153846153847,0.7711538461538462,0.49230769230769234,0.011538461538461539,0.4480769230769231
null_space_projcos,0.1,0.6807692307692308,1.0,0.9980769230769231,0.7115384615384616,0.011538461538461539,0.6884615384615385
joint_null,0.002,0.009615384615384616,0.009615384615384616,0.013461538461538462,0.011538461538461539,0.011538461538461539,0.026923076923076925
joint_null,0.005,0.015384615384615385,0.019230769230769232,0.01730769230769231,0.011538461538461539,0.011538461538461539,0.026923076923076925
joint_null,0.01,0.03461538461538462,0.05384615384615385,0.023076923076923078,0.011538461538461539,0.011538461538461539,0.026923076923076925
joint_null,0.02,0.13076923076923078,0.31153846153846154,0.14423076923076922,0.011538461538461539,0.011538461538461539,0.026923076923076925
joint_null,0.05,0.45,0.9846153846153847,0.7711538461538462,0.011538461538461539,0.011538461538461539,0.026923076923076925
joint_null,0.1,0.6807692307692308,1.0,0.9980769230769231,0.011538461538461539,0.011538461538461539,0.026923076923076925
tol_hug_sr,0.002,0.009615384615384616,0.009615384615384616,0.013461538461538462,0.011538461538461539,0.013461538461538462,0.026923076923076925
tol_hug_sr,0.005,0.015384615384615385,0.019230769230769232,0.01730769230769231,0.011538461538461539,0.01730769230769231,0.03076923076923077
tol_hug_sr,0.01,0.03461538461538462,0.051923076923076926,0.023076923076923078,0.009615384615384616,0.04230769230769231,0.05576923076923077
tol_hug_sr,0.02,0.11730769230769231,0.27884615384615385,0.125,0.009615384615384616,0.5038461538461538,0.4230769230769231
tol_hug_sr,0.05,0.32884615384615384,0.7134615384615385,0.5076923076923077,0.009615384615384616,0.8153846153846154,0.8057692307692308
tol_hug_sr,0.1,0.40384615384615385,0.7153846153846154,0.5865384615384616,0.009615384615384616,0.8173076923076923,0.8096153846153846
tol_hug_projcos,0.002,0.009615384615384616,0.009615384615384616,0.013461538461538462,0.01730769230769231,0.011538461538461539,0.026923076923076925
tol_hug_projcos,0.005,0.015384615384615385,0.019230769230769232,0.01730769230769231,0.025,0.011538461538461539,0.032692307692307694
tol_hug_projcos,0.01,0.03076923076923077,0.04807692307692308,0.025,0.04038461538461539,0.011538461538461539,0.04807692307692308
tol_hug_projcos,0.02,0.06346153846153846,0.10576923076923077,0.05384615384615385,0.14423076923076922,0.011538461538461539,0.12884615384615383
tol_hug_projcos,0.05,0.06346153846153846,0.1076923076923077,0.05576923076923077,0.1596153846153846,0.011538461538461539,0.14807692307692308
tol_hug_projcos,0.1,0.06346153846153846,0.1076923076923077,0.05576923076923077,0.16153846153846155,0.011538461538461539,0.15
tol_hug_combined,0.002,0.009615384615384616,0.009615384615384616,0.013461538461538462,0.011538461538461539,0.011538461538461539,0.026923076923076925
tol_hug_combined,0.005,0.015384615384615385,0.01730769230769231,0.01730769230769231,0.011538461538461539,0.011538461538461539,0.026923076923076925
tol_hug_combined,0.01,0.028846153846153848,0.03653846153846154,0.023076923076923078,0.011538461538461539,0.011538461538461539,0.026923076923076925
tol_hug_combined,0.02,0.03076923076923077,0.051923076923076926,0.03076923076923077,0.011538461538461539,0.011538461538461539,0.026923076923076925
tol_hug_combined,0.05,0.03076923076923077,0.051923076923076926,0.03076923076923077,0.011538461538461539,0.011538461538461539,0.026923076923076925
tol_hug_combined,0.1,0.03076923076923077,0.051923076923076926,0.03076923076923077,0.011538461538461539,0.011538461538461539,0.026923076923076925
