pair_label,prompt_id,stage,stage_key,decode_step,left_capture_root,right_capture_root,left_runtime,right_runtime,thc_detected,thc_first_mismatch_index,thc_first_mismatch_checkpoint,tstc_detected,tstc_first_mismatch_index,tstc_first_mismatch_checkpoint,localization_label
apple_metal_vs_rtx_bf16,eval_001,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_applebf16_eval_b,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_rtxbf16_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
apple_metal_vs_rtx_bf16,eval_002,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_applebf16_eval_b,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_rtxbf16_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,True,2,C3,N/A
apple_metal_vs_rtx_bf16,eval_003,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_applebf16_eval_b,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_rtxbf16_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
apple_metal_vs_rtx_bf16,eval_004,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_applebf16_eval_b,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_rtxbf16_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,True,2,C3,N/A
apple_metal_vs_rtx_bf16,eval_005,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_applebf16_eval_b,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_rtxbf16_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,True,2,C3,N/A
apple_metal_vs_rtx_bf16,eval_006,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_applebf16_eval_b,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_applemetal_vs_rtxbf16_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
