checkpoint,K,threshold,calibration_prompt_seed_draws,calibration_prompts,target_alpha_smoke_only,projection_family
prefill__C1,1,0.0002378352294877678,384,6,0.01,lut16
prefill__C1,2,0.00017098889857114285,384,6,0.01,lut16
prefill__C1,4,0.00010531795613451021,384,6,0.01,lut16
prefill__C1,8,8.138016426037555e-05,384,6,0.01,lut16
prefill__C1,16,6.733398826356121e-05,384,6,0.01,lut16
prefill__C1,32,5.549234311351519e-05,384,6,0.01,lut16
prefill__C1,64,5.289751791607789e-05,384,6,0.01,lut16
prefill__C2,1,0.00017722071032881537,384,6,0.01,lut16
prefill__C2,2,0.00012122056466839885,384,6,0.01,lut16
prefill__C2,4,9.674607854302445e-05,384,6,0.01,lut16
prefill__C2,8,8.117987601939123e-05,384,6,0.01,lut16
prefill__C2,16,6.521887388365209e-05,384,6,0.01,lut16
prefill__C2,32,5.805949671066439e-05,384,6,0.01,lut16
prefill__C2,64,5.313227355056409e-05,384,6,0.01,lut16
prefill__C3,1,0.0018004309177426395,384,6,0.01,lut16
prefill__C3,2,0.001330147080108674,384,6,0.01,lut16
prefill__C3,4,0.000912562635189708,384,6,0.01,lut16
prefill__C3,8,0.0006515863340563864,384,6,0.01,lut16
prefill__C3,16,0.0005278076166150847,384,6,0.01,lut16
prefill__C3,32,0.0005337116046213269,384,6,0.01,lut16
prefill__C3,64,0.0004641226051892342,384,6,0.01,lut16
