prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws,projection_family
eval_001,prefill__C1,16384,1,0.01,1,7,8,0.0002378352294877678,0.005859375,0.166015625,0.046875,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.8257453642995244,1.6271600082893392,64,512,lut16
eval_001,prefill__C1,16384,2,0.01,1,7,8,0.00017098889857114285,0.0078125,0.2734375,0.171875,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.6049993025362825,1.1056700400637196,64,512,lut16
eval_001,prefill__C1,16384,4,0.01,1,7,8,0.00010531795613451021,0.009765625,0.529296875,0.40625,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.4939526211842074,1.0185122157569966,64,512,lut16
eval_001,prefill__C1,16384,8,0.01,1,3,8,8.138016426037555e-05,0.01171875,0.763671875,0.640625,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.33934739671231023,0.7476403173583963,64,512,lut16
eval_001,prefill__C1,16384,16,0.01,1,0,8,6.733398826356121e-05,0.01171875,0.96484375,0.90625,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.24424404653015047,0.5997767544715176,64,512,lut16
eval_001,prefill__C1,16384,32,0.01,1,7,8,5.549234311351519e-05,0.0390625,1.0,1.0,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.16676214268370257,0.40163151786900786,64,512,lut16
eval_001,prefill__C1,16384,64,0.01,1,7,8,5.289751791607789e-05,0.009765625,1.0,1.0,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.12514499727369544,0.28069785784743106,64,512,lut16
eval_001,prefill__C1,16384,1,0.01,16,7,8,0.0002378352294877678,0.005859375,0.1875,0.125,3.788488441181147e-05,0.00013788488441181146,0.01,-4.336808689942018e-19,-4.3004840566842576e-19,0.8293723202749685,1.6219006772158586,64,512,lut16
eval_001,prefill__C1,16384,2,0.01,16,7,8,0.00017098889857114285,0.0078125,0.2890625,0.1875,3.788488441181147e-05,0.00013788488441181146,0.01,-4.336808689942018e-19,-4.3004840566842576e-19,0.6279372293503802,1.1716986958522255,64,512,lut16
eval_001,prefill__C1,16384,4,0.01,16,2,8,0.00010531795613451021,0.009765625,0.537109375,0.40625,3.788488441181147e-05,0.00013788488441181146,0.01,-1.1926223897340549e-18,-1.1826331155881708e-18,0.4964018873712795,0.9605780335834521,64,512,lut16
eval_001,prefill__C1,16384,8,0.01,16,2,8,8.138016426037555e-05,0.01171875,0.783203125,0.75,3.788488441181147e-05,0.00013788488441181146,0.01,-1.1926223897340549e-18,-1.1826331155881708e-18,0.32806030523232294,0.7220054864713349,64,512,lut16
eval_001,prefill__C1,16384,16,0.01,16,3,8,6.733398826356121e-05,0.01171875,0.943359375,0.9375,3.788488441181147e-05,0.00013788488441181146,0.009999999999999998,-1.0842021724855044e-19,-1.0751210141710644e-19,0.2433559382314636,0.5731237124783493,64,512,lut16
eval_001,prefill__C1,16384,32,0.01,16,1,8,5.549234311351519e-05,0.0390625,0.998046875,1.0,3.788488441181147e-05,0.00013788488441181148,0.01,-1.3417001884508117e-18,-1.330462255036692e-18,0.1633656704340001,0.42033342993236655,64,512,lut16
eval_001,prefill__C1,16384,64,0.01,16,5,8,5.289751791607789e-05,0.009765625,1.0,1.0,3.788488441181147e-05,0.00013788488441181146,0.01,-4.0657581468206416e-20,-4.0317038031414917e-20,0.11417945342052863,0.2888355647249102,64,512,lut16
eval_001,prefill__C1,16384,1,0.01,256,1,8,0.0002378352294877678,0.005859375,0.15625,0.15625,3.788488441181147e-05,0.00013788488441181148,0.01,8.673617379884035e-19,8.600968113368515e-19,0.8174353840836821,1.541921521079016,64,512,lut16
eval_001,prefill__C1,16384,2,0.01,256,0,8,0.00017098889857114285,0.0078125,0.267578125,0.21875,3.788488441181147e-05,0.00013788488441181146,0.01,0.0,0.0,0.6251236262884676,1.1308161782423742,64,512,lut16
eval_001,prefill__C1,16384,4,0.01,256,0,8,0.00010531795613451021,0.009765625,0.5390625,0.46875,3.788488441181147e-05,0.00013788488441181146,0.01,0.0,0.0,0.47238885746532044,0.898175250314852,64,512,lut16
eval_001,prefill__C1,16384,8,0.01,256,1,8,8.138016426037555e-05,0.01171875,0.775390625,0.6875,3.788488441181147e-05,0.00013788488441181148,0.01,8.673617379884035e-19,8.600968113368515e-19,0.33387133447546324,0.7259386614703803,64,512,lut16
eval_001,prefill__C1,16384,16,0.01,256,3,8,6.733398826356121e-05,0.01171875,0.953125,0.90625,3.788488441181147e-05,0.00013788488441181146,0.01,0.0,0.0,0.22708523038647227,0.5356200825397278,64,512,lut16
eval_001,prefill__C1,16384,32,0.01,256,3,8,5.549234311351519e-05,0.0390625,0.99609375,0.984375,3.788488441181147e-05,0.00013788488441181146,0.01,0.0,0.0,0.15686687783884465,0.38173952216267726,64,512,lut16
eval_001,prefill__C1,16384,64,0.01,256,4,8,5.289751791607789e-05,0.009765625,1.0,1.0,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.10886246990654525,0.2739830850439351,64,512,lut16
eval_001,prefill__C1,16384,1,0.02,1,6,8,0.0002378352294877678,0.005859375,0.431640625,0.4375,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.7865313254760224,1.4674394205720698,64,512,lut16
eval_001,prefill__C1,16384,2,0.02,1,6,8,0.00017098889857114285,0.0078125,0.6796875,0.609375,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.6209623189518967,1.4106148439212172,64,512,lut16
eval_001,prefill__C1,16384,4,0.02,1,6,8,0.00010531795613451021,0.009765625,0.90625,0.84375,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.4626751257339068,0.9720755866890235,64,512,lut16
eval_001,prefill__C1,16384,8,0.02,1,0,8,8.138016426037555e-05,0.01171875,0.990234375,0.984375,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.3323528907154778,0.7440757269725758,64,512,lut16
