pair,detector,alpha,tau,calib_fpr,eval_fpr_observed,eval_fpr_ci,n_calib,n_eval,tpr_gaussian,tpr_gaussian_ci,tpr_scale,tpr_scale_ci,tpr_stale,tpr_stale_ci,tpr_layer_skip,tpr_layer_skip_ci,tpr_low_prec_int8,tpr_low_prec_int8_ci,tpr_low_prec_int4,tpr_low_prec_int4_ci
A/B,scalar16,0.01,2.0684814453125,0.0,0.0,"[0.0000,0.0073]",200,520,1.0,"[0.9927,1.0000]",0.0,"[0.0000,0.0073]",0.948076923076923,"[0.9255,0.9641]",0.7711538461538462,"[0.7331,0.8052]",0.9692307692307692,"[0.9506,0.9810]",0.9692307692307692,"[0.9506,0.9810]"
A/B,projcos4,0.01,0.0006104827877780921,0.01,0.015384615384615385,"[0.0078,0.0301]",200,520,1.0,"[0.9927,1.0000]",0.015384615384615385,"[0.0078,0.0301]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]"
A/B,signradial,0.01,0.0089650032950744,0.01,0.009615384615384616,"[0.0041,0.0223]",200,520,0.9769230769230769,"[0.9601,0.9868]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]"
A/B,combined,0.01,0.9900995024875622,0.01,0.009615384615384616,"[0.0041,0.0223]",200,520,1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]",1.0,"[0.9927,1.0000]"
