rho,theta_deg,sr_q,tpr_scalar16,tpr_scalar16_lo,tpr_scalar16_hi,tpr_projcos4,tpr_projcos4_lo,tpr_projcos4_hi,tpr_signradial,tpr_signradial_lo,tpr_signradial_hi,tpr_combined,tpr_combined_lo,tpr_combined_hi
0.05,0.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,0.0,0.0,0.0073332470273396585
0.05,15.0,1024,0.125,0.09929586045175054,0.1562040748187542,1.0,0.9926667529726603,1.0,0.9807692307692307,0.9649659346402875,0.9895213278334243,0.0,0.0,0.0073332470273396585
0.05,30.0,1024,0.9173076923076923,0.890464637871366,0.9380303059558158,1.0,0.9926667529726603,1.0,0.9346153846153846,0.9100205642365605,0.952835921039675,0.0,0.0,0.0073332470273396585
0.05,45.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9442307692307692,0.9210539300848581,0.9608923004408516,0.0,0.0,0.0073332470273396585
0.05,60.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9326923076923077,0.9078298670354615,0.9512086691908791,0.0,0.0,0.0073332470273396585
0.05,75.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9576923076923077,0.9367748462756342,0.9718970275993395,0.0,0.0,0.0073332470273396585
0.05,90.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9538461538461539,0.9322446979312745,0.9687912778439095,0.0,0.0,0.0073332470273396585
0.1,0.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,0.0,0.0,0.0073332470273396585
0.1,15.0,1024,0.9596153846153846,0.9390533283014635,0.9734364946234051,1.0,0.9926667529726603,1.0,0.9865384615384616,0.972476848817454,0.9934642608059425,0.0,0.0,0.0073332470273396585
0.1,30.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9692307692307692,0.9506063711061808,0.980973197068162,0.0,0.0,0.0073332470273396585
0.1,45.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9711538461538461,0.952955231128072,0.9824422860961655,0.0,0.0,0.0073332470273396585
0.1,60.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9769230769230769,0.9601006955823829,0.9867506687915392,0.0,0.0,0.0073332470273396585
0.1,75.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.975,0.9577007306135643,0.9853326847104629,0.0,0.0,0.0073332470273396585
0.1,90.0,1024,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9769230769230769,0.9601006955823829,0.9867506687915392,0.0,0.0,0.0073332470273396585
