rho,theta_deg,sr_q,tpr_scalar16,tpr_scalar16_lo,tpr_scalar16_hi,tpr_projcos4,tpr_projcos4_lo,tpr_projcos4_hi,tpr_signradial,tpr_signradial_lo,tpr_signradial_hi,tpr_combined,tpr_combined_lo,tpr_combined_hi
0.002,0.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,0.04423076923076923,0.029651557831327162,0.06549451734359399,0.019230769230769232,0.01047867216657569,0.035034065359712444
0.002,15.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,0.06153846153846154,0.04392487846186188,0.0855827381621129,0.028846153846153848,0.01755771390383447,0.047044768871927906
0.002,30.0,1024,0.0,0.0,0.0073332470273396585,0.01730769230769231,0.009131833935177556,0.03256295454121573,0.09615384615384616,0.07369704102337739,0.12453365849870464,0.04230769230769231,0.02810297240066055,0.06322515372436575
0.002,45.0,1024,0.0,0.0,0.0073332470273396585,0.03653846153846154,0.023514403492670283,0.05635987548267149,0.12115384615384615,0.095851241201271,0.15201279596944403,0.06538461538461539,0.04716407896032497,0.08997943576343949
0.002,60.0,1024,0.0,0.0,0.0073332470273396585,0.24615384615384617,0.2110797676340498,0.28495095777983037,0.14423076923076922,0.11664142705695556,0.1770379987124976,0.18461538461538463,0.15362290285495855,0.22023345296228647
0.002,75.0,1024,0.0,0.0,0.0073332470273396585,0.4980769230769231,0.4552741498800708,0.5409079010700343,0.1673076923076923,0.13769136885789007,0.20180344551030127,0.36346153846153845,0.3232608379370833,0.40566477952038255
0.002,90.0,1024,0.0,0.0,0.0073332470273396585,0.5711538461538461,0.5282474287796544,0.613016686066455,0.18461538461538463,0.15362290285495855,0.22023345296228647,0.4346153846153846,0.3926426466157382,0.477547085687837
0.005,0.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,0.9346153846153846,0.9100205642365605,0.952835921039675,0.7519230769230769,0.713044345783363,0.7871069797528619
0.005,15.0,1024,0.0,0.0,0.0073332470273396585,0.019230769230769232,0.01047867216657569,0.035034065359712444,0.5884615384615385,0.5456661002850552,0.6299595560101078,0.4461538461538462,0.40397870508301714,0.4891187215199272
0.005,30.0,1024,0.0,0.0,0.0073332470273396585,0.9461538461538461,0.9232782773992675,0.9624859021763371,0.45,0.40776251841504935,0.4929708062876847,0.9019230769230769,0.8733364407829969,0.9246149106450263
0.005,45.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.43846153846153846,0.39641876230937106,0.48140686809399386,1.0,0.9926667529726603,1.0
0.005,60.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.47884615384615387,0.4362221462761427,0.521780414175014,1.0,0.9926667529726603,1.0
0.005,75.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.5461538461538461,0.5031796618848252,0.588451115312651,1.0,0.9926667529726603,1.0
0.005,90.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.5673076923076923,0.5243837726881595,0.6092444440581601,1.0,0.9926667529726603,1.0
0.01,0.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0
0.01,15.0,1024,0.0,0.0,0.0073332470273396585,0.9653846153846154,0.9459498702016006,0.9779937998729525,0.8942307692307693,0.8648454057490372,0.9178341494794066,0.9903846153846154,0.9776909212803006,0.9958860864428857
0.01,30.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.6961538461538461,0.655304433056752,0.7341263700325223,1.0,0.9926667529726603,1.0
0.01,45.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.7057692307692308,0.6652078495578532,0.7433126987808957,1.0,0.9926667529726603,1.0
0.01,60.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.7365384615384616,0.6970411580988617,0.7725665750382046,1.0,0.9926667529726603,1.0
0.01,75.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.7365384615384616,0.6970411580988617,0.7725665750382046,1.0,0.9926667529726603,1.0
0.01,90.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.75,0.7110406212601956,0.7852927552261346,1.0,0.9926667529726603,1.0
0.02,0.0,1024,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0
0.02,15.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.9576923076923077,0.9367748462756342,0.9718970275993395,1.0,0.9926667529726603,1.0
0.02,30.0,1024,0.0,0.0,0.0073332470273396585,1.0,0.9926667529726603,1.0,0.8192307692307692,0.7838523165175866,0.8499272257649579,1.0,0.9926667529726603,1.0
0.02,45.0,1024,0.14038461538461539,0.11315694917659279,0.17288657849307074,1.0,0.9926667529726603,1.0,0.8673076923076923,0.8354387606942407,0.8937895078356751,1.0,0.9926667529726603,1.0
0.02,60.0,1024,0.425,0.38321366473975566,0.4678863223143453,1.0,0.9926667529726603,1.0,0.8634615384615385,0.8312722546966511,0.890320115733475,1.0,0.9926667529726603,1.0
0.02,75.0,1024,0.5153846153846153,0.47247473081848523,0.5580688615806734,1.0,0.9926667529726603,1.0,0.8576923076923076,0.8250368003379543,0.8851017229424872,1.0,0.9926667529726603,1.0
0.02,90.0,1024,0.6019230769230769,0.5592508321814613,0.6431004674629655,1.0,0.9926667529726603,1.0,0.8730769230769231,0.8417035207457746,0.8989785949338258,1.0,0.9926667529726603,1.0
