rho,theta_deg,tpr_scalar16,tpr_scalar16_lo,tpr_scalar16_hi,tpr_projcos4,tpr_projcos4_lo,tpr_projcos4_hi,tpr_signradial,tpr_signradial_lo,tpr_signradial_hi,tpr_combined,tpr_combined_lo,tpr_combined_hi
0.05,0.0,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0
0.05,15.0,0.125,0.09929586045175054,0.1562040748187542,1.0,0.9926667529726603,1.0,0.9153846153846154,0.8883118446981964,0.9363651500790906,1.0,0.9926667529726603,1.0
0.05,30.0,0.9173076923076923,0.890464637871366,0.9380303059558158,1.0,0.9926667529726603,1.0,0.9634615384615385,0.9436401245173286,0.9764855965073297,1.0,0.9926667529726603,1.0
0.05,45.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9692307692307692,0.9506063711061808,0.980973197068162,1.0,0.9926667529726603,1.0
0.05,60.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9673076923076923,0.9482716259002818,0.9794899932241662,1.0,0.9926667529726603,1.0
0.05,75.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9711538461538461,0.952955231128072,0.9824422860961655,1.0,0.9926667529726603,1.0
0.05,90.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9673076923076923,0.9482716259002818,0.9794899932241662,1.0,0.9926667529726603,1.0
0.1,0.0,0.0,0.0,0.0073332470273396585,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0
0.1,15.0,0.9596153846153846,0.9390533283014635,0.9734364946234051,1.0,0.9926667529726603,1.0,0.9634615384615385,0.9436401245173286,0.9764855965073297,1.0,0.9926667529726603,1.0
0.1,30.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9826923076923076,0.9674370454587842,0.9908681660648224,1.0,0.9926667529726603,1.0
0.1,45.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9865384615384616,0.972476848817454,0.9934642608059425,1.0,0.9926667529726603,1.0
0.1,60.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9884615384615385,0.9750576731843033,0.9947013854889881,1.0,0.9926667529726603,1.0
0.1,75.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9903846153846154,0.9776909212803006,0.9958860864428857,1.0,0.9926667529726603,1.0
0.1,90.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9826923076923076,0.9674370454587842,0.9908681660648224,1.0,0.9926667529726603,1.0
0.2,0.0,0.0019230769230769232,0.0003395509959939315,0.010811645081240575,0.015384615384615385,0.007815783763420294,0.030061055663078144,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0
0.2,15.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9826923076923076,0.9674370454587842,0.9908681660648224,1.0,0.9926667529726603,1.0
0.2,30.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9961538461538462,0.9860862434262678,0.9989446114466027,1.0,0.9926667529726603,1.0
0.2,45.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9923076923076923,0.9803902937171094,0.9970046630559715,1.0,0.9926667529726603,1.0
0.2,60.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9980769230769231,0.9891883549187593,0.9996604490040061,1.0,0.9926667529726603,1.0
0.2,75.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9923076923076923,0.9803902937171094,0.9970046630559715,1.0,0.9926667529726603,1.0
0.2,90.0,1.0,0.9926667529726603,1.0,1.0,0.9926667529726603,1.0,0.9961538461538462,0.9860862434262678,0.9989446114466027,1.0,0.9926667529726603,1.0
