family,max_attack_support_spread,median_attack_support_spread,max_honest_support_fpr_spread
rademacher,0.6551,0.11499999999999999,0.01205
qgauss3,0.07884999999999998,0.010125000000000002,0.009049999999999999
qgauss4,0.053049999999999986,0.008850000000000004,0.0057
qgauss8,0.011749999999999997,0.0031250000000000305,0.0016500000000000004
gaussian,0.00764999999999999,0.002924999999999997,0.004
