family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
qgauss3,16,1,8.0,2.000345256933456,0.99795,20000,20000
qgauss3,32,1,1.0,1.6694721085580895,0.0113,20000,20000
qgauss3,32,1,1.4,1.6694721085580895,0.21575,20000,20000
qgauss3,32,1,2.0,1.6694721085580895,0.73435,20000,20000
qgauss3,32,1,8.0,1.6694721085580895,1.0,20000,20000
qgauss3,1,16,1.0,6.67022257998949,0.0118,20000,20000
qgauss3,1,16,1.4,6.67022257998949,0.0221,20000,20000
qgauss3,1,16,2.0,6.67022257998949,0.06905,20000,20000
qgauss3,1,16,8.0,6.67022257998949,0.3973,20000,20000
qgauss3,2,16,1.0,4.698737063830577,0.00885,20000,20000
qgauss3,2,16,1.4,4.698737063830577,0.03365,20000,20000
qgauss3,2,16,2.0,4.698737063830577,0.0957,20000,20000
qgauss3,2,16,8.0,4.698737063830577,0.53305,20000,20000
qgauss3,4,16,1.0,3.295429011760596,0.0112,20000,20000
qgauss3,4,16,1.4,3.295429011760596,0.0507,20000,20000
qgauss3,4,16,2.0,3.295429011760596,0.1544,20000,20000
qgauss3,4,16,8.0,3.295429011760596,0.8011,20000,20000
qgauss3,8,16,1.0,2.514861481213667,0.0102,20000,20000
qgauss3,8,16,1.4,2.514861481213667,0.07115,20000,20000
qgauss3,8,16,2.0,2.514861481213667,0.26165,20000,20000
qgauss3,8,16,8.0,2.514861481213667,0.9602,20000,20000
qgauss3,16,16,1.0,2.000345256933456,0.01165,20000,20000
qgauss3,16,16,1.4,2.000345256933456,0.117,20000,20000
qgauss3,16,16,2.0,2.000345256933456,0.4506,20000,20000
qgauss3,16,16,8.0,2.000345256933456,0.9987,20000,20000
qgauss3,32,16,1.0,1.6694721085580895,0.01175,20000,20000
qgauss3,32,16,1.4,1.6694721085580895,0.20875,20000,20000
qgauss3,32,16,2.0,1.6694721085580895,0.7358,20000,20000
qgauss3,32,16,8.0,1.6694721085580895,1.0,20000,20000
qgauss3,1,256,1.0,6.67022257998949,0.00975,20000,20000
qgauss3,1,256,1.4,6.67022257998949,0.0293,20000,20000
qgauss3,1,256,2.0,6.67022257998949,0.0675,20000,20000
qgauss3,1,256,8.0,6.67022257998949,0.3544,20000,20000
qgauss3,2,256,1.0,4.698737063830577,0.01005,20000,20000
qgauss3,2,256,1.4,4.698737063830577,0.03235,20000,20000
qgauss3,2,256,2.0,4.698737063830577,0.09205,20000,20000
qgauss3,2,256,8.0,4.698737063830577,0.55485,20000,20000
qgauss3,4,256,1.0,3.295429011760596,0.0103,20000,20000
qgauss3,4,256,1.4,3.295429011760596,0.04875,20000,20000
qgauss3,4,256,2.0,3.295429011760596,0.15165,20000,20000
qgauss3,4,256,8.0,3.295429011760596,0.8026,20000,20000
qgauss3,8,256,1.0,2.514861481213667,0.00795,20000,20000
qgauss3,8,256,1.4,2.514861481213667,0.07095,20000,20000
qgauss3,8,256,2.0,2.514861481213667,0.25565,20000,20000
qgauss3,8,256,8.0,2.514861481213667,0.96235,20000,20000
qgauss3,16,256,1.0,2.000345256933456,0.00805,20000,20000
qgauss3,16,256,1.4,2.000345256933456,0.1164,20000,20000
qgauss3,16,256,2.0,2.000345256933456,0.4495,20000,20000
qgauss3,16,256,8.0,2.000345256933456,0.9993,20000,20000
qgauss3,32,256,1.0,1.6694721085580895,0.00925,20000,20000
qgauss3,32,256,1.4,1.6694721085580895,0.2093,20000,20000
qgauss3,32,256,2.0,1.6694721085580895,0.73335,20000,20000
qgauss3,32,256,8.0,1.6694721085580895,1.0,20000,20000
qgauss4,1,1,1.0,6.751898133249043,0.01315,20000,20000
qgauss4,1,1,1.4,6.751898133249043,0.0475,20000,20000
qgauss4,1,1,2.0,6.751898133249043,0.0475,20000,20000
qgauss4,1,1,8.0,6.751898133249043,0.31595,20000,20000
