checkpoint,rho,threshold,honest_exceedance_rate,ideal_infinite_K_attack_detection_rate,median_honest_energy,median_attacked_energy
prefill__C1,0.01,3.799015097715494e-05,0.08333333333333333,1.0,1.4639666607748611e-05,0.00011463966660774861
prefill__C1,0.02,3.799015097715494e-05,0.08333333333333333,1.0,1.4639666607748611e-05,0.00041463966660774867
prefill__C1,0.05,3.799015097715494e-05,0.08333333333333333,1.0,1.4639666607748611e-05,0.002514639666607749
prefill__C2,0.01,3.826957817670183e-05,0.16666666666666666,1.0,1.5157739979737147e-05,0.00011515773997973716
prefill__C2,0.02,3.826957817670183e-05,0.16666666666666666,1.0,1.5157739979737147e-05,0.0004151577399797372
prefill__C2,0.05,3.826957817670183e-05,0.16666666666666666,1.0,1.5157739979737147e-05,0.0025151577399797377
prefill__C3,0.01,0.0003357878999127994,0.3333333333333333,0.8333333333333334,0.0002647046215625094,0.00036470462156250945
prefill__C3,0.02,0.0003357878999127994,0.3333333333333333,1.0,0.0002647046215625094,0.0006647046215625095
prefill__C3,0.05,0.0003357878999127994,0.3333333333333333,1.0,0.0002647046215625094,0.00276470462156251
