split,candidate_run,prompt_id,checkpoint,N,reference_rms,full_residual_energy,full_residual_rms
calibration,original,calib_001,prefill__C1,13312,57.009022156883255,3.7944972831864275e-05,0.006159949093285128
calibration,original,calib_001,prefill__C2,13312,57.03686165302316,3.820552850345375e-05,0.006181062085390645
calibration,original,calib_001,prefill__C3,13312,3.3017064852570432,0.00024345642367101393,0.015603090196208376
calibration,original,calib_002,prefill__C1,14336,50.895598697849806,1.465149624620069e-05,0.003827727295171469
calibration,original,calib_002,prefill__C2,14336,50.92652558455469,1.5081578876911736e-05,0.0038835008532137256
calibration,original,calib_002,prefill__C3,14336,3.2608436586524343,0.0003357878999127994,0.018324516362316343
calibration,original,calib_003,prefill__C1,12288,60.21210269178319,3.799015097715494e-05,0.006163615089957755
calibration,original,calib_003,prefill__C2,12288,60.23695009611747,3.826957817670183e-05,0.006186241037714407
calibration,original,calib_003,prefill__C3,12288,3.1859800014495385,0.0002459935040515337,0.01568418005671746
calibration,original,calib_004,prefill__C1,12288,61.95204147710823,1.4158285405914386e-05,0.00376274971342958
calibration,original,calib_004,prefill__C2,12288,61.97633903786604,1.4371737027583265e-05,0.003791007389544798
calibration,original,calib_004,prefill__C3,12288,3.18540578563908,0.0002196647209774897,0.014821090411217715
calibration,original,calib_005,prefill__C1,12288,59.33556968476508,1.4067107194399591e-05,0.0037506142422808015
calibration,original,calib_005,prefill__C2,12288,59.36084759664404,1.4340671838004981e-05,0.0037869079521431442
calibration,original,calib_005,prefill__C3,12288,3.235277299340149,0.0002162208286112327,0.01470444927942671
calibration,original,calib_006,prefill__C1,12288,63.990896629608685,1.459135871698862e-05,0.00381986370398063
calibration,original,calib_006,prefill__C2,12288,64.01508953854201,1.4876590032811109e-05,0.003857018282664876
calibration,original,calib_006,prefill__C3,12288,3.138578320551143,0.00022351653025368934,0.014950469231889993
evaluation,original,eval_001,prefill__C1,16384,51.387890877435694,3.788488441181147e-05,0.0061550698137236
evaluation,original,eval_001,prefill__C2,16384,51.42179826664663,3.83204294507862e-05,0.006190349703432448
evaluation,original,eval_001,prefill__C3,16384,3.270187813107905,0.00032980081512042585,0.01816041891368219
evaluation,original,eval_002,prefill__C1,17408,46.18705894695328,1.4674737271088746e-05,0.003830761970037912
evaluation,original,eval_002,prefill__C2,17408,46.22409318026354,1.5412539500634302e-05,0.003925880729293021
evaluation,original,eval_002,prefill__C3,17408,3.2578306158903514,0.00040970112446012623,0.02024107518043758
evaluation,original,eval_003,prefill__C1,15360,53.85581068208154,3.809073259383518e-05,0.006171769000362472
evaluation,original,eval_003,prefill__C2,15360,53.88708569339006,3.94652455608863e-05,0.006282137021817202
evaluation,original,eval_003,prefill__C3,15360,3.2279734822015294,0.0004559096380923002,0.021352040607218323
evaluation,original,eval_004,prefill__C1,15360,55.412108980863906,1.4128953169161763e-05,0.0037588499796030383
evaluation,original,eval_004,prefill__C2,15360,55.44301343475171,1.4496089650236534e-05,0.0038073730642316276
evaluation,original,eval_004,prefill__C3,15360,3.210819166833196,0.0002595239869900611,0.016109748197599524
evaluation,original,eval_005,prefill__C1,15360,53.071755045603794,1.409929102037751e-05,0.003754902265089933
evaluation,original,eval_005,prefill__C2,15360,53.103949846005065,1.4583912428828404e-05,0.0038188888997754836
evaluation,original,eval_005,prefill__C3,15360,3.2438597751798035,0.0004963097061981468,0.022278009475672347
evaluation,original,eval_006,prefill__C1,15360,57.23582275625392,1.4684477077691397e-05,0.0038320330214771632
evaluation,original,eval_006,prefill__C2,15360,57.265682597205846,1.5207930471164055e-05,0.0038997346667644013
evaluation,original,eval_006,prefill__C3,15360,3.1355138791209543,0.00033849882186317594,0.01839833747552142
evaluation,original,eval_007,prefill__C1,19456,44.388058528940114,1.4785580811735578e-05,0.0038452023108980337
evaluation,original,eval_007,prefill__C2,19456,44.42478539282819,1.5378965833294934e-05,0.003921602457324675
evaluation,original,eval_007,prefill__C3,19456,3.2292294803240504,0.0002515628602722496,0.01586073328293019
evaluation,original,eval_008,prefill__C1,19456,45.53998546563701,1.4525187401754062e-05,0.003811192385822849
evaluation,original,eval_008,prefill__C2,19456,45.576118562958094,1.510754948831024e-05,0.00388684312628002
evaluation,original,eval_008,prefill__C3,19456,3.2496353969062985,0.0002592635177301676,0.01610166195553017
evaluation,original,eval_009,prefill__C1,19456,45.31050603797317,1.4429139998827988e-05,0.0037985707837064177
evaluation,original,eval_009,prefill__C2,19456,45.34622213927171,1.4983837781127001e-05,0.003870896250369803
evaluation,original,eval_009,prefill__C3,19456,3.276714069501071,0.0002661622690187168,0.01631448034779891
evaluation,original,eval_010,prefill__C1,15360,58.27674640362444,1.4380636669794436e-05,0.003792180991170442
evaluation,original,eval_010,prefill__C2,15360,58.30583183145182,1.4693112789338485e-05,0.003833159635253727
evaluation,original,eval_010,prefill__C3,15360,3.2335193100776296,0.00026324697410630204,0.016224887491329547
evaluation,original,eval_011,prefill__C1,12288,59.336270118222075,3.785422800755251e-05,0.006152578972069559
evaluation,original,eval_011,prefill__C2,12288,59.36495612859242,3.8124944597558914e-05,0.006174540031254062
evaluation,original,eval_011,prefill__C3,12288,3.2068938025942666,0.00019551136386636073,0.013982537819235846
evaluation,original,eval_012,prefill__C1,13312,52.8154709332832,1.4604595944408479e-05,0.0038215959943992614
evaluation,original,eval_012,prefill__C2,13312,52.84731323797214,1.4996458845538266e-05,0.0038725261581477105
evaluation,original,eval_012,prefill__C3,13312,3.226534952529438,0.00021942644811601171,0.014813049926197228
evaluation,rerun,eval_001,prefill__C1,16384,51.387890877435694,3.788488441181147e-05,0.0061550698137236
evaluation,rerun,eval_001,prefill__C2,16384,51.42179826664663,3.83204294507862e-05,0.006190349703432448
evaluation,rerun,eval_001,prefill__C3,16384,3.270187813107905,0.00032980081512042585,0.01816041891368219
evaluation,rerun,eval_002,prefill__C1,17408,46.18705894695328,1.4674737271088746e-05,0.003830761970037912
evaluation,rerun,eval_002,prefill__C2,17408,46.22409318026354,1.5412539500634302e-05,0.003925880729293021
evaluation,rerun,eval_002,prefill__C3,17408,3.2578306158903514,0.00040970112446012623,0.02024107518043758
evaluation,rerun,eval_003,prefill__C1,15360,53.85581068208154,3.809073259383518e-05,0.006171769000362472
evaluation,rerun,eval_003,prefill__C2,15360,53.88708569339006,3.94652455608863e-05,0.006282137021817202
evaluation,rerun,eval_003,prefill__C3,15360,3.2279734822015294,0.0004559096380923002,0.021352040607218323
evaluation,rerun,eval_004,prefill__C1,15360,55.412108980863906,1.4128953169161763e-05,0.0037588499796030383
evaluation,rerun,eval_004,prefill__C2,15360,55.44301343475171,1.4496089650236534e-05,0.0038073730642316276
evaluation,rerun,eval_004,prefill__C3,15360,3.210819166833196,0.0002595239869900611,0.016109748197599524
evaluation,rerun,eval_005,prefill__C1,15360,53.071755045603794,1.409929102037751e-05,0.003754902265089933
evaluation,rerun,eval_005,prefill__C2,15360,53.103949846005065,1.4583912428828404e-05,0.0038188888997754836
evaluation,rerun,eval_005,prefill__C3,15360,3.2438597751798035,0.0004963097061981468,0.022278009475672347
evaluation,rerun,eval_006,prefill__C1,15360,57.23582275625392,1.4684477077691397e-05,0.0038320330214771632
evaluation,rerun,eval_006,prefill__C2,15360,57.265682597205846,1.5207930471164055e-05,0.0038997346667644013
evaluation,rerun,eval_006,prefill__C3,15360,3.1355138791209543,0.00033849882186317594,0.01839833747552142
evaluation,rerun,eval_007,prefill__C1,19456,44.388058528940114,1.4785580811735578e-05,0.0038452023108980337
evaluation,rerun,eval_007,prefill__C2,19456,44.42478539282819,1.5378965833294934e-05,0.003921602457324675
evaluation,rerun,eval_007,prefill__C3,19456,3.2292294803240504,0.0002515628602722496,0.01586073328293019
evaluation,rerun,eval_008,prefill__C1,19456,45.53998546563701,1.4525187401754062e-05,0.003811192385822849
evaluation,rerun,eval_008,prefill__C2,19456,45.576118562958094,1.510754948831024e-05,0.00388684312628002
evaluation,rerun,eval_008,prefill__C3,19456,3.2496353969062985,0.0002592635177301676,0.01610166195553017
evaluation,rerun,eval_009,prefill__C1,19456,45.31050603797317,1.4429139998827988e-05,0.0037985707837064177
