profile_id,model,boundary,pair,device_a,backend_a,device_b,backend_b,sketch,alpha,beta,fpr,tpr,sketch_bytes,verify_ms,n_eval,n_calib,feasible,fpr_false_positives,fpr_trials,tpr_true_positives,tpr_trials,risk_class,selection_rule,fpr_wilson95_lo,fpr_wilson95_hi,tpr_wilson95_lo,tpr_wilson95_hi
profile_017,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.02,1.0,256,3.79823,200,200,1,4,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.007804300176394188,0.050287865505193874,0.9811539940816791,1.0
profile_018,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.065,1.0,512,3.919516,200,200,1,13,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.03837598764975976,0.10802003749917945,0.9811539940816791,1.0
profile_019,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.09,0.51,64,3.603487,200,200,0,18,200,102,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.05768697871453362,0.13776674613848952,0.441184632709161,0.5784384471724727
profile_020,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.38,0.795,256,3.468791,200,200,0,76,200,159,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.3155889366123922,0.4489341048080049,0.7337418048192546,0.8451390516889363
profile_021,edge-llm-sharded-inference,C1-C3,pair_05,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.065,1.0,1024,4.040801,200,200,1,13,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.03837598764975976,0.10802003749917945,0.9811539940816791,1.0
profile_022,edge-llm-sharded-inference,C1-C3,pair_05,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.075,1.0,256,3.79823,200,200,1,15,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.045974507057252416,0.12004459797332034,0.9811539940816791,1.0
profile_023,edge-llm-sharded-inference,C1-C3,pair_05,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.075,1.0,512,3.919516,200,200,1,15,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.045974507057252416,0.12004459797332034,0.9811539940816791,1.0
profile_024,edge-llm-sharded-inference,C1-C3,pair_05,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.245,0.95,64,3.603487,200,200,0,49,200,190,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.19056777914685893,0.3090436838714848,0.9104209437021562,0.9726176509713551
profile_025,edge-llm-sharded-inference,C1-C3,pair_05,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.59,1.0,256,3.468791,200,200,0,118,200,200,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.5207633107255152,0.655844408209187,0.9811539940816791,1.0
profile_026,edge-llm-sharded-inference,C1-C3,pair_06,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.03,1.0,1024,4.040801,200,200,1,6,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.01382012583074833,0.06389511973247332,0.9811539940816791,1.0
profile_027,edge-llm-sharded-inference,C1-C3,pair_06,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.105,1.0,256,3.79823,200,200,0,21,200,200,200,medium-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.0697069624619373,0.15518138221353622,0.9811539940816791,1.0
profile_028,edge-llm-sharded-inference,C1-C3,pair_06,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.005,1.0,512,3.919516,200,200,1,1,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.0008831459893662054,0.02777439986977148,0.9811539940816791,1.0
profile_029,edge-llm-sharded-inference,C1-C3,pair_06,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.165,1.0,64,3.603487,200,200,0,33,200,200,200,medium-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.11996784122663977,0.22265898273863527,0.9811539940816791,1.0
profile_030,edge-llm-sharded-inference,C1-C3,pair_06,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.615,1.0,256,3.468791,200,200,0,123,200,200,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.5459973878179245,0.6796680308208618,0.9811539940816791,1.0
