run_id,scheme,network,k,payload_mb,requester_egress_mb,publication_ms,access_package_ms,provider_fetch_ms,all_ready_ms,notes
lan_rpd_100_2_010,RPD,LAN,2,100,200.000032,0.0,1716.113506,0.0,1716.113506,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_011,RPD,LAN,2,100,200.000032,0.0,1714.680711,0.0,1714.680711,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_012,RPD,LAN,2,100,200.000032,0.0,1714.340042,0.0,1714.340042,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_013,RPD,LAN,2,100,200.000032,0.0,1714.251775,0.0,1714.251775,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_014,RPD,LAN,2,100,200.000032,0.0,1715.825508,0.0,1715.825508,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_015,RPD,LAN,2,100,200.000032,0.0,1715.319754,0.0,1715.319754,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_016,RPD,LAN,2,100,200.000032,0.0,1715.818491,0.0,1715.818491,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_017,RPD,LAN,2,100,200.000032,0.0,1713.80466,0.0,1713.80466,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_018,RPD,LAN,2,100,200.000032,0.0,1715.27327,0.0,1715.27327,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_019,RPD,LAN,2,100,200.000032,0.0,1713.57483,0.0,1713.57483,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_020,RPD,LAN,2,100,200.000032,0.0,1718.112957,0.0,1718.112957,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_021,RPD,LAN,2,100,200.000032,0.0,1714.324407,0.0,1714.324407,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_022,RPD,LAN,2,100,200.000032,0.0,1714.893658,0.0,1714.893658,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_023,RPD,LAN,2,100,200.000032,0.0,1716.103111,0.0,1716.103111,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_024,RPD,LAN,2,100,200.000032,0.0,1714.21215,0.0,1714.21215,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_025,RPD,LAN,2,100,200.000032,0.0,1716.460065,0.0,1716.460065,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_026,RPD,LAN,2,100,200.000032,0.0,1717.453341,0.0,1717.453341,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_027,RPD,LAN,2,100,200.000032,0.0,1714.490779,0.0,1714.490779,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_028,RPD,LAN,2,100,200.000032,0.0,1714.274384,0.0,1714.274384,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_029,RPD,LAN,2,100,200.000032,0.0,1715.476857,0.0,1715.476857,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_2_030,RPD,LAN,2,100,200.000032,0.0,1714.26092,0.0,1714.26092,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_001,RPD,LAN,4,100,400.000064,0.0,3416.451887,0.0,3416.451887,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_002,RPD,LAN,4,100,400.000064,0.0,3415.862545,0.0,3415.862545,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_003,RPD,LAN,4,100,400.000064,0.0,3416.864381,0.0,3416.864381,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_004,RPD,LAN,4,100,400.000064,0.0,3418.079815,0.0,3418.079815,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_005,RPD,LAN,4,100,400.000064,0.0,3417.52253,0.0,3417.52253,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_006,RPD,LAN,4,100,400.000064,0.0,3416.493149,0.0,3416.493149,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_007,RPD,LAN,4,100,400.000064,0.0,3418.128201,0.0,3418.128201,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_008,RPD,LAN,4,100,400.000064,0.0,3417.881843,0.0,3417.881843,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_009,RPD,LAN,4,100,400.000064,0.0,3416.040845,0.0,3416.040845,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_010,RPD,LAN,4,100,400.000064,0.0,3415.971202,0.0,3415.971202,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_011,RPD,LAN,4,100,400.000064,0.0,3419.549107,0.0,3419.549107,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_012,RPD,LAN,4,100,400.000064,0.0,3416.079979,0.0,3416.079979,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_013,RPD,LAN,4,100,400.000064,0.0,3416.383702,0.0,3416.383702,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_014,RPD,LAN,4,100,400.000064,0.0,3416.304153,0.0,3416.304153,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_015,RPD,LAN,4,100,400.000064,0.0,3416.099395,0.0,3416.099395,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_016,RPD,LAN,4,100,400.000064,0.0,3417.640668,0.0,3417.640668,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_017,RPD,LAN,4,100,400.000064,0.0,3417.495898,0.0,3417.495898,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_018,RPD,LAN,4,100,400.000064,0.0,3418.181869,0.0,3418.181869,fresh_unique_id;calibrated_delivery_path
