percentile,token_samples,channel_samples,prompt_count,detect_count,tstc_fpr,dominant_mismatch_checkpoint,mismatch_distribution
99.5,4,4,200,200,1.0,C1,"{""C1"": 200}"
99.5,8,2,200,200,1.0,C1,"{""C1"": 200}"
99.0,2,8,200,200,1.0,C2,"{""C1"": 49, ""C2"": 151}"
99.0,4,4,200,200,1.0,C1,"{""C1"": 200}"
99.0,8,2,200,200,1.0,C1,"{""C1"": 200}"
99.99,2,16,200,200,1.0,C2,"{""C1"": 7, ""C2"": 193}"
99.99,4,8,200,200,1.0,C1,"{""C1"": 123, ""C2"": 77}"
99.99,8,4,200,200,1.0,C1,"{""C1"": 106, ""C2"": 84, ""C3"": 10}"
99.95,2,16,200,200,1.0,C2,"{""C1"": 10, ""C2"": 190}"
99.95,4,8,200,200,1.0,C1,"{""C1"": 181, ""C2"": 19}"
99.95,8,4,200,200,1.0,C1,"{""C1"": 125, ""C2"": 58, ""C3"": 17}"
99.9,2,16,200,200,1.0,C2,"{""C1"": 25, ""C2"": 175}"
99.9,4,8,200,200,1.0,C1,"{""C1"": 200}"
99.9,8,4,200,200,1.0,C1,"{""C1"": 161, ""C2"": 39}"
99.5,1,32,200,200,1.0,C3,"{""C1"": 45, ""C2"": 75, ""C3"": 80}"
99.5,2,16,200,200,1.0,C2,"{""C1"": 40, ""C2"": 160}"
99.5,4,8,200,200,1.0,C1,"{""C1"": 184, ""C2"": 16}"
99.5,8,4,200,200,1.0,C1,"{""C1"": 200}"
99.0,2,16,200,200,1.0,C2,"{""C1"": 81, ""C2"": 119}"
99.0,4,8,200,200,1.0,C1,"{""C1"": 200}"
99.0,8,4,200,200,1.0,C1,"{""C1"": 200}"
99.99,2,32,200,200,1.0,C2,"{""C1"": 36, ""C2"": 164}"
99.99,4,16,200,200,1.0,C1,"{""C1"": 200}"
99.99,8,8,200,200,1.0,C1,"{""C1"": 131, ""C2"": 69}"
99.95,2,32,200,200,1.0,C2,"{""C1"": 29, ""C2"": 171}"
99.95,4,16,200,200,1.0,C1,"{""C1"": 200}"
99.95,8,8,200,200,1.0,C1,"{""C1"": 184, ""C2"": 16}"
99.9,2,32,200,200,1.0,C2,"{""C1"": 38, ""C2"": 162}"
99.9,4,16,200,200,1.0,C1,"{""C1"": 200}"
99.9,8,8,200,200,1.0,C1,"{""C1"": 200}"
99.5,2,32,200,200,1.0,C2,"{""C1"": 77, ""C2"": 123}"
99.5,4,16,200,200,1.0,C1,"{""C1"": 200}"
99.5,8,8,200,200,1.0,C1,"{""C1"": 185, ""C2"": 15}"
99.0,2,32,200,200,1.0,C1,"{""C1"": 110, ""C2"": 90}"
99.0,4,16,200,200,1.0,C1,"{""C1"": 200}"
99.0,8,8,200,200,1.0,C1,"{""C1"": 200}"
99.99,4,32,200,200,1.0,C1,"{""C1"": 200}"
99.99,8,16,200,200,1.0,C1,"{""C1"": 200}"
99.95,4,32,200,200,1.0,C1,"{""C1"": 200}"
99.95,8,16,200,200,1.0,C1,"{""C1"": 200}"
99.9,4,32,200,200,1.0,C1,"{""C1"": 200}"
99.9,8,16,200,200,1.0,C1,"{""C1"": 200}"
99.5,4,32,200,200,1.0,C1,"{""C1"": 200}"
99.5,8,16,200,200,1.0,C1,"{""C1"": 200}"
99.0,4,32,200,200,1.0,C1,"{""C1"": 200}"
99.0,8,16,200,200,1.0,C1,"{""C1"": 200}"
99.99,8,32,200,200,1.0,C1,"{""C1"": 200}"
99.95,8,32,200,200,1.0,C1,"{""C1"": 200}"
99.9,8,32,200,200,1.0,C1,"{""C1"": 200}"
99.5,8,32,200,200,1.0,C1,"{""C1"": 200}"
99.0,8,32,200,200,1.0,C1,"{""C1"": 200}"
