sample_size,token_samples,channel_samples,tolerance_mode,tolerance_scale,honest_homo_thc_fpr,honest_homo_tstc_fpr,honest_homo_thc_runtime_ms_per_trace,honest_homo_tstc_runtime_ms_per_trace,honest_hetero_thc_fpr,honest_hetero_tstc_fpr,honest_hetero_thc_runtime_ms_per_trace,honest_hetero_tstc_runtime_ms_per_trace,honest_hetero_dominant_tstc_mismatch_checkpoint,tamper_thc_tpr,tamper_tstc_tpr,tamper_thc_locacc,tamper_tstc_locacc,tamper_thc_runtime_ms_per_trace,tamper_tstc_runtime_ms_per_trace,prefill_delta_c1,prefill_delta_c2,prefill_delta_c3
4,1,4,checkpoint_specific,1.0,0.0,0.0,2.88361,3.06575,1.0,0.77,2.786935,2.90369,C3,1.0,1.0,1.0,1.0,1.56811,1.556475,1.109375,1.109375,0.15750500559806824
4,1,4,global_shared,1.0,0.0,0.0,2.79851,2.88339,1.0,0.245,2.79225,2.807315,C3,1.0,1.0,1.0,1.0,1.564795,1.662645,1.109375,1.109375,1.109375
