pair_id,pair_label,variant,family,budget_class,tolerance_mode,percentile,tolerance_scale,token_samples,channel_samples,projection_dim,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,commitment_head_bytes,commitment_chain_bytes,eval_prompt_count,calib_honest_hetero_fpr,eval_honest_hetero_fpr,eval_honest_homo_fpr,eval_honest_hetero_detect_count,eval_honest_hetero_dominant_mismatch,honest_homo_source,eval_honest_homo_dominant_mismatch,gaussian_tpr,stale_replay_tpr,wrong_prompt_tpr,gaussian_locacc,stale_replay_locacc,wrong_prompt_locacc,material_tpr_min,material_tpr_mean,material_locacc_min,material_locacc_mean,reference_replay_runtime_ms,challenge_latency_ms,risk_class,feasible_under_alpha_beta,alpha_threshold,beta_threshold,overhead_source,selection_rule
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.135,0.0,27,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.85328,4.121868,medium-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.045,0.0,9,C1,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.579195,3.771044,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.075,0.0,15,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.707063,3.946456,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.175,0.11,0.0,22,C3,absrepro_same_stack,,1.0,0.645,0.645,1.0,0.645,0.645,0.645,0.763333,0.645,0.763333,2.423463,4.161692,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.5,0.305,0.0,61,C3,absrepro_same_stack,,1.0,0.875,0.875,1.0,0.875,0.875,0.875,0.916667,0.875,0.916667,2.390787,3.580513,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.065,0.0,13,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.942351,4.121868,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.02,0.0,4,C1,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.672994,3.771044,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.065,0.0,13,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.746513,3.946456,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.025,0.09,0.0,18,C3,absrepro_same_stack,,1.0,0.555,0.555,1.0,0.555,0.555,0.555,0.703333,0.555,0.703333,2.602692,4.161692,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.175,0.38,0.0,76,C3,absrepro_same_stack,,1.0,0.795,0.795,1.0,0.795,0.795,0.795,0.863333,0.795,0.863333,2.420961,3.580513,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.065,0.0,13,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.890712,4.121868,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.075,0.0,15,C1,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.667634,3.771044,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.075,0.0,15,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.743248,3.946456,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar16,scalar,tiny,global_shared,99.99,1.5,1,16,0,16,64,192,32.0,96.0,200,0.2,0.245,0.0,49,C2,absrepro_same_stack,,1.0,0.95,0.95,1.0,0.95,0.95,0.95,0.966667,0.95,0.966667,2.443296,4.161692,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.625,0.59,0.0,118,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.415826,3.580513,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,large,global_shared,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.005,,1,C1,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.93682,4.121868,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,small,global_shared,99.0,2.0,16,0,4,64,256,768,32.0,96.0,200,0.0,0.02,,4,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.696919,3.771044,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,medium,global_shared,99.0,2.0,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.015,,3,C1,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.766343,3.946456,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.225,0.165,,33,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.488253,4.161692,medium-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.55,0.615,,123,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.463405,3.580513,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
