prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,final_relative_residual,delta_residual_cosine,cosine_after_attack
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.0703125,directional,0.04638671875,0.019999999473931003,0.02092569863647944,2.2625947020293206e-10,0.9997908496745648
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.0703125,combined,0.0537109375,0.019999999473931003,0.02092569863647944,2.2625947020293206e-10,0.9997908496745648
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,spike,0.52587890625,0.05000000000000002,0.05037742435269803,-1.34390126771383e-18,0.9987331698960284
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,energy,1.0,0.05000000000000002,0.05037742435269803,-1.34390126771383e-18,0.9987331698960284
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,directional,0.77783203125,0.05000000000000002,0.05037742435269803,-1.34390126771383e-18,0.9987331698960284
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,combined,1.0,0.05000000000000002,0.05037742435269803,-1.34390126771383e-18,0.9987331698960284
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,spike,0.57470703125,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,energy,1.0,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,directional,1.0,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,combined,1.0,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,spike,0.06005859375,0.05,0.05037742435269802,1.1826331155881706e-19,0.9987329438246779
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,energy,0.06005859375,0.05,0.05037742435269802,1.1826331155881706e-19,0.9987329438246779
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,directional,0.06005859375,0.05,0.05037742435269802,1.1826331155881706e-19,0.9987329438246779
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,combined,0.06201171875,0.05,0.05037742435269802,1.1826331155881706e-19,0.9987329438246779
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,spike,0.06396484375,0.05000000273764303,0.0503774270706357,1.317541852570054e-10,0.9987329570479149
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,energy,0.06396484375,0.05000000273764303,0.0503774270706357,1.317541852570054e-10,0.9987329570479149
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,directional,0.0634765625,0.05000000273764303,0.0503774270706357,1.317541852570054e-10,0.9987329570479149
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,combined,0.06591796875,0.05000000273764303,0.0503774270706357,1.317541852570054e-10,0.9987329570479149
eval_001,prefill__C1,16384,128,0.0,honest,0,,spike,0.01171875,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.0,honest,0,,energy,0.01171875,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.0,honest,0,,directional,0.01171875,0.0,0.006155069813723601,0.0,0.9999927276506787
