threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1_seed_secret,joint_null,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047749,0.6,0.004114,0.022309,0.002
TM1_seed_secret,joint_null,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047749,0.75,0.007816,0.030061,0.002
TM1_seed_secret,joint_null,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047749,0.571429,0.006536,0.027523,0.002
TM1_seed_secret,joint_null,0.005,C3,Combined,520,0.9900995,0.017308,0.009615,0.982692,0.982692,0.119349,0.777778,0.009132,0.032563,0.005
TM1_seed_secret,joint_null,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.119349,0.8,0.010479,0.035034,0.005
TM1_seed_secret,joint_null,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.119349,0.727273,0.011852,0.037478,0.005
TM1_seed_secret,joint_null,0.01,C3,Combined,520,0.9900995,0.057692,0.009615,0.942308,0.942308,0.238489,0.9,0.040708,0.081164,0.01
TM1_seed_secret,joint_null,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.238489,0.88,0.032774,0.070008,0.01
TM1_seed_secret,joint_null,0.01,C3,SignRadial,520,0.008965,0.038462,0.009615,0.961538,0.961538,0.238489,0.85,0.025034,0.058658,0.01
TM1_seed_secret,joint_null,0.02,C3,Combined,520,0.9900995,0.515385,0.009615,0.484615,0.484615,0.475177,0.973881,0.472475,0.558069,0.02
TM1_seed_secret,joint_null,0.02,C3,ProjCos4,520,0.00061048,0.544231,0.015385,0.455769,0.455769,0.475177,0.964664,0.501256,0.586557,0.02
TM1_seed_secret,joint_null,0.02,C3,SignRadial,520,0.008965,0.169231,0.009615,0.830769,0.830769,0.475177,0.943182,0.139456,0.203857,0.02
TM1_seed_secret,joint_null,0.05,C3,Combined,520,0.9900995,0.992308,0.009615,0.007692,0.007692,1.156498,0.978682,0.98039,0.997005,0.05
TM1_seed_secret,joint_null,0.05,C3,ProjCos4,520,0.00061048,0.994231,0.015385,0.005769,0.005769,1.156498,0.967118,0.983177,0.998036,0.05
TM1_seed_secret,joint_null,0.05,C3,SignRadial,520,0.008965,0.484615,0.009615,0.515385,0.515385,1.156498,0.964286,0.441931,0.527525,0.05
TM1_seed_secret,joint_null,0.1,C3,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,2.121524,0.978846,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.121524,0.967245,0.989188,0.99966,0.1
TM1_seed_secret,joint_null,0.1,C3,SignRadial,520,0.008965,0.719231,0.009615,0.280769,0.280769,2.121524,0.967914,0.679108,0.756139,0.1
TM1_seed_secret,null_space_projcos,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047749,0.6,0.004114,0.022309,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047749,0.75,0.007816,0.030061,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047749,0.571429,0.006536,0.027523,0.002
TM1_seed_secret,null_space_projcos,0.005,C3,Combined,520,0.9900995,0.017308,0.009615,0.982692,0.982692,0.11935,0.777778,0.009132,0.032563,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.11935,0.8,0.010479,0.035034,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.11935,0.727273,0.011852,0.037478,0.005
TM1_seed_secret,null_space_projcos,0.01,C3,Combined,520,0.9900995,0.057692,0.009615,0.942308,0.942308,0.238492,0.9,0.040708,0.081164,0.01
TM1_seed_secret,null_space_projcos,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.238492,0.88,0.032774,0.070008,0.01
TM1_seed_secret,null_space_projcos,0.01,C3,SignRadial,520,0.008965,0.038462,0.009615,0.961538,0.961538,0.238492,0.85,0.025034,0.058658,0.01
TM1_seed_secret,null_space_projcos,0.02,C3,Combined,520,0.9900995,0.515385,0.009615,0.484615,0.484615,0.475183,0.973881,0.472475,0.558069,0.02
