prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,spike,0.06005859375,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,energy,0.06005859375,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,directional,0.06005859375,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,combined,0.06201171875,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,spike,0.06396484375,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,energy,0.06396484375,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,directional,0.06298828125,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,combined,0.06591796875,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,128,0.0,honest,0,,spike,0.01171875,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.0,honest,0,,energy,0.01171875,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.0,honest,0,,directional,0.01171875,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.0,honest,0,,combined,0.01171875,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,spike,0.01171875,0.010000000000000004,0.999942291016197
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,energy,0.01171875,0.010000000000000004,0.999942291016197
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,directional,0.00927734375,0.010000000000000004,0.999942291016197
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,combined,0.01171875,0.010000000000000004,0.999942291016197
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,spike,0.01171875,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,energy,0.01171875,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,directional,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,combined,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,spike,0.01171875,0.01,0.9999422326135301
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,energy,0.01171875,0.01,0.9999422326135301
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,directional,0.01220703125,0.01,0.9999422326135301
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,combined,0.0126953125,0.01,0.9999422326135301
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.001953125,spike,0.01171875,0.010000000521357109,0.9999424768448624
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.001953125,energy,0.01171875,0.010000000521357109,0.9999424768448624
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.001953125,directional,0.00830078125,0.010000000521357109,0.9999424768448624
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.001953125,combined,0.01171875,0.010000000521357109,0.9999424768448624
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,spike,0.01171875,0.020000000000000007,0.9997909006052028
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,energy,0.01171875,0.020000000000000007,0.9997909006052028
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,directional,0.03955078125,0.020000000000000007,0.9997909006052028
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,combined,0.04052734375,0.020000000000000007,0.9997909006052028
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,spike,0.01171875,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,energy,0.01171875,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,directional,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,combined,1.0,0.020000000000000018,0.9997931136434115
