K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
4,0.02,1,3,0.0,0.75,0.375,0.5,0.44479549235151794,2.118638797496973e-05
4,0.02,16,3,0.0,0.6666666666666666,0.0,0.6666666666666666,0.32379553241040426,1.1660426877820253e-18
4,0.02,256,3,0.0,0.625,0.0,0.5,0.552007486834431,8.063407606282983e-19
16,0.02,1,3,0.125,0.7083333333333334,0.125,0.6666666666666666,0.3748297916582637,2.118638797496973e-05
16,0.02,16,3,0.125,0.7916666666666666,0.375,0.6666666666666666,0.3355480666656815,4.2759748430722454e-19
16,0.02,256,3,0.125,0.6666666666666666,0.0,0.6666666666666666,0.4100153016939664,2.3320853755640507e-18
