threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1b_knownP,sign_balanced_sr,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047884,0.571429,0.006536,0.027523,0.002
TM1b_knownP,sign_balanced_sr,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.980769,0.119686,0.8,0.010479,0.035034,0.005
TM1b_knownP,sign_balanced_sr,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.119686,0.8,0.010479,0.035034,0.005
TM1b_knownP,sign_balanced_sr,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.119686,0.727273,0.011852,0.037478,0.005
TM1b_knownP,sign_balanced_sr,0.01,C3,Combined,520,0.9900995,0.061538,0.009615,0.938462,0.938462,0.239165,0.90625,0.043925,0.085583,0.01
TM1b_knownP,sign_balanced_sr,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.239165,0.88,0.032774,0.070008,0.01
TM1b_knownP,sign_balanced_sr,0.01,C3,SignRadial,520,0.008965,0.036538,0.009615,0.963462,0.963462,0.239165,0.842105,0.023514,0.05636,0.01
TM1b_knownP,sign_balanced_sr,0.02,C3,Combined,520,0.9900995,0.544231,0.009615,0.455769,0.455769,0.476526,0.975265,0.501256,0.586557,0.02
TM1b_knownP,sign_balanced_sr,0.02,C3,ProjCos4,520,0.00061048,0.596154,0.015385,0.403846,0.403846,0.476526,0.967742,0.553425,0.637473,0.02
TM1b_knownP,sign_balanced_sr,0.02,C3,SignRadial,520,0.008965,0.167308,0.009615,0.832692,0.832692,0.476526,0.942529,0.137691,0.201803,0.02
TM1b_knownP,sign_balanced_sr,0.05,C3,Combined,520,0.9900995,0.994231,0.009615,0.005769,0.005769,1.159796,0.978723,0.983177,0.998036,0.05
TM1b_knownP,sign_balanced_sr,0.05,C3,ProjCos4,520,0.00061048,0.996154,0.015385,0.003846,0.003846,1.159796,0.967181,0.986086,0.998945,0.05
TM1b_knownP,sign_balanced_sr,0.05,C3,SignRadial,520,0.008965,0.475,0.009615,0.525,0.525,1.159796,0.963563,0.432419,0.517947,0.05
TM1b_knownP,sign_balanced_sr,0.1,C3,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,2.127557,0.978846,0.992667,1.0,0.1
TM1b_knownP,sign_balanced_sr,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.127557,0.967245,0.989188,0.99966,0.1
TM1b_knownP,sign_balanced_sr,0.1,C3,SignRadial,520,0.008965,0.709615,0.009615,0.290385,0.290385,2.127557,0.96748,0.669175,0.746981,0.1
TM1b_knownP,tol_hug_combined,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.642308,0.038728,0.6,0.004114,0.022309,0.001651
